stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.74,175.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.71,199.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,46.3,6.44,0,0,4.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.62,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,1.37,1.77,0,0,0,0,0
 24-34,0,0,0.64,0,0,9.34,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0.95,0,1.6,4.94,0,0,1.32,0,0,0,0,0,4.92,0,0,0,0,0
 36-46,0,0,0.56,0,0,280.91,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0.77,0,0.64,9.98,2.23,0,0,0,0,0,0,0,0.88,0,0,0,0,0
 48-58,0,0,1.5,0.64,0,1969.54,0,0,0.95,8.18,0,0,0,0,0,0,0,0,3.51,1.17,0,2.01,57.86,0,0,1.99,0,0.97,0.59,0,0,9.72,0,0,0,0,0
 60-70,0,0,0,0,0,6067.22,0,1.1,0,9.33,0,0,0,0,0,0,0.96,0,30.19,5.13,0,2.44,134.96,0,0,0.95,0,0,8.92,0.62,0,12.87,0,0,0,0,0
 72-82,0,0,14.89,8.46,0,8372.14,2.22,0.8,0.64,13.25,2.97,1.79,1.72,0,0,3.21,2.6,0,35.92,0.56,1.62,7.13,152.24,0,0,3.55,0,0,5.44,0,0,7.97,0,1.35,2.1,0,0
 84-94,0,0,28.37,2.19,0,8737.88,1.32,1.15,1.21,47.23,6.28,0,0,0.71,1.12,0,5.35,0,28.51,0,1.23,7.29,77.76,2.77,0.6,1.36,0,0,9.07,0,0,1.42,0,0,6.01,0,5.8
 96-106,0,0,13.23,13.79,1.09,5024.94,0,1.32,0,8.98,0,0,0,2.26,0,6.64,2.94,6.24,15.12,3.48,0,1.81,70.11,0,2.47,6.77,0,0,6.57,0,0,2.56,0.83,0,3.63,0,0
108-118,0,0,5.96,0,0.5,3430.77,0,1.69,0.81,8.94,1.39,0,0,3.09,0,0.56,0.74,5.23,21.99,7.76,0,2.48,102.41,0.45,0.59,2.09,0,0,2.31,0.42,0,3.89,1.74,0,4.23,0,0
120,0,0,5.72,0,0,2521.44,6.09,8.99,0,16.26,3.94,0,0,0,0,0,0,0,6.35,0,0,1.53,56.29,1.1,0,0,0,0,0,2.12,0,0,0,2.41,2.71,1.99,0
