stage,axial,blastomeres,eye,neural,paraxial_mesoderm,periderm
  3-4,0,215.62,0,0,0,12.17
  5-6,6.75,59.85,0,0,0,0
  7-9,0,0,3.31,25,12.45,0
 10-12,0,0,5.57,11.62,16.55,0
 84-94,0,0,0,1.98,0,0
