stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,8.76,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,1.09,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,735.23,0,0.87,0,41,0,0,0
 36-46,2.52,0,0,0.87,0.93,13.59,0,0,0,0,0.73,0,0,887.83,0,1.63,0,95.61,0,0,6.66
 48-58,0,0,0,4.89,0.4,3.35,0,0,0,0,7.45,0.49,0,1332.92,0,3.75,0,186.92,0.77,0,1.67
 60-70,0,0,0,7.66,0,1.39,0,0,0,1.2,8.48,0,2.04,1437.86,1.23,2.33,0,5.5,0,0,0
 72-82,0,0,0,9.74,0,2.41,0.56,0,0,0,2.65,0,0,541.81,0,0,0,0,0,1.02,0
 84-94,0,0.89,0,180.92,0,0,0,0,0,0,1.3,0,0,94.99,0,1.6,0,0,1.47,1,0
 96-106,1.87,1.17,0,4.94,0,0,0,0,0,0,4.58,0,0,484.65,0,0,0,0,0,2.47,0
108-118,0,0,3.12,236.35,0,4.79,0.84,0,0.7,2.27,4.05,0,0.5,28.13,0,0,0,0,0,0,0
120,0,0,0,0,0,11.56,0,0,0,0,0,0,0,1300.92,0,0,0,0,0,0,0
