stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,330.65,8638.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.24,0,0,0,0,0,0,0,0,0
  5-6,367.32,10185.54,0,0,0,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,0,0,0,0,0,375.43,23.84,0,0,83.32,342.06,0,0,0,0,0,0,0,0,0
  7-9,267.14,551.15,0,753.66,0,0,0,1533.12,0,0,0,0,498.72,0,0,0,0,0,0,0,0,0,0,0,15289.34,370.49,0,0,4851.29,89.78,0,0,0,0,0,0,0,0,0
 10-12,0,383.01,0,728.19,0,155.7,0,1264.14,0,0,0,0,171.82,0,0,0,0,0,0,0,0,0,0,3.87,10361.54,118.76,0,0,3524.54,74.49,14.69,424.73,0,0,4.47,0,0,0,0
 14-21,0,2.16,0.82,19.01,878.42,124.36,0,36.06,0.82,0,4.9,39.05,1.79,10.55,0,22.31,1.73,0,2.39,0,238.63,1.85,0,60.13,478.35,1.69,2.12,11.05,68.54,201.08,151.56,12.32,2.53,73.46,92.3,0,0,0,0
 24-34,0,0,2.15,9.94,75.26,3.05,0,45.36,10.42,0.74,8.36,10.75,1.11,0.92,0,2.02,0.8,0.73,5.45,1.9,115.85,2.07,2.43,36.3,151.09,0,1.3,10.26,0,28.64,1.03,1.61,0,13.27,39.05,0,0,3.81,0.91
 36-46,0,0,0,0,8.05,0,0,17.37,8.27,3.11,1.28,0.72,0,0,0,0,0,1.86,0.83,0,21.07,1.68,0,4.05,68.15,0,0,2.98,0,4.89,0,0,0,0,0.6,0,0,0.85,0
 48-58,0.58,0,0.46,0,6.59,0,0,5.27,4.21,4.09,2.03,3.74,0,0,6.95,0.64,0,0,3.11,0,23.14,0.65,0,1.74,18.68,0,0,0,0,5.87,0,0,0,0,2.39,0,0,0,3.23
 60-70,0,0,0,0,5.63,0,0,2.58,0,3.19,2.52,1.36,0,0,0.61,1.82,0,0,0,0,10.45,0.65,0,6.46,14.55,0,1.17,0.65,0,1.62,0,0,0,0,2.78,0,0,1.05,0.69
 72-82,0,0,0,0,1.83,0,0,0,0,1.96,2.17,3.35,0,0,2.26,0.55,0,0,0,0,3.02,0,0.53,0,2.03,0,0,0.82,0,5.79,0,0,0,0,0,0,2.24,0,0
 84-94,0,0,0,0,3.95,0,0,1.89,0,3.69,4.03,7.71,0,0,0,0.83,0,0,0,0,9.42,0,0,0.82,2.35,0,0,0,0,34.18,0,0,0,0,0,1.8,0,0.61,0
 96-106,0,0,0,0,4.49,0,3.15,2.28,1.22,1.89,0,2.04,0,0,8.73,0.56,0,0,0,0,2.48,0.69,0,0.64,4.38,0,0,0,0,16.91,0,0,0,0,0,0,0,0.99,0
108-118,0,0,0,0,0.72,0,0,3.01,0,0,0.62,3.22,0,0,1.85,1.22,0,0,0,0,1.96,0.63,0,0.49,2.03,0,0,0,0,12.57,0,0.52,0,0,0,0.43,0,0,0
120,0,0,0,0,0,0,0,0,4.89,1.49,1.51,1.14,0,0,2.3,0,0,1.3,0,0,9.01,0,2.18,1.56,7.84,0,1.91,0,0,6.26,0,0,0,0,0,0,0,0,0
