stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,43.66,876.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,0,0,0,0
  5-6,29.87,1421.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.59,0,0,0,19.99,0,27.25,0,0,0,0,0,0,0,0,0,0
  7-9,9.86,70.34,0,12.62,0,0,404.12,0,0,0,0,0,7.51,0,0,0,0,0,0,0,0,0,2045.72,48.22,0,0,411.63,0,0,7.87,0,12.83,0,0,0,0,0,0,0
 10-12,0,82.95,0,73.52,0,9.75,245.7,0,0,0,0,0,93.96,0,0,0,0,5.32,0,0,0,0,1820.55,51.57,0,0,450.69,0,0,0,0,45.71,0,0,5.32,0,0,0,0
 14-21,0,0,6.94,3.86,24.16,25.57,62.32,0,0,0,43.53,0.82,6.25,0,0,0,0,1.15,0,25.25,0,11.32,757.49,3.15,0.93,17.54,4.65,0,0,1.1,22.6,40.35,0.81,53.26,250.23,0,0,0,0
 24-34,0,0,4,1.24,5.68,0,72.26,0,0,0,36.49,0.67,1.82,0,0,0.97,1.72,0,0,25.97,0,3.59,450.6,5.68,5.5,19.91,1,0,2.77,0,0,7.3,0,2.75,156.15,0,0,0,0
 36-46,0,0,2.89,0,2.38,0,84.21,0,0,0,13.79,0,0,0,0,1.97,3.34,0,0,23.74,0,5.81,312.11,9.62,19.97,4.91,0,0,0,0,0,4.83,0,0,114.85,0,0,0,0
 48-58,0,0,1.22,0,0,0,141.85,0,0,0.49,18.94,0,0,0,11.68,0,1,0,0,5.78,0,0,161.02,0,14.12,3.64,0,0,0.4,0,1.84,5.37,0,0,64.45,0,0,0,0
 60-70,0,0,1.49,0,0,0,442.1,0,0,0,14.81,0,0,0,0,0,7.57,0,0,10.05,0,2.47,192.02,0,3.26,11.57,0,0,0,0,0,0,0,0,30.03,0,0,0,0
 72-82,0,0,2.78,0,0.71,0,713.27,0,0,5.82,34.34,0,0.89,0,0,0,2.63,0,0,14.09,0,1.14,205.18,1.06,9.26,22,0,1.03,1.93,0,0,0.86,0,0,29.3,4.15,1.89,2.5,0.93
 84-94,0,0,1.5,0,2.12,0,870.61,0.56,0,0,22.72,0.93,0,0,0,0,4.36,0,5.22,8.28,0,2.13,182.22,0.62,10.97,25.8,0,0,1.44,0,0,1.51,0,0,19.67,0.57,1.08,0,0
 96-106,0,0,4.39,0,3.78,0,562.88,1.53,11.57,0,53.33,3.56,0,0,0,0,10.83,0.59,0,11.52,0,2.88,187.42,0.6,15.11,29.3,0,0,7.29,0,0,0.7,0,0,22.31,4.2,0,0.68,0
108-118,0,0,2.27,0,3.35,0.56,448.01,0,0.56,4,42.86,1.92,0,0.56,0.42,0,6.91,0,0,9.89,0.94,0.68,332.32,0,10.39,14.7,0,0,0,0,0,1.88,0,0,10.83,9.06,0.99,2.72,0
120,0,0,1.73,0,2.54,0,374.55,0,0,0,40.11,1.09,0,5.68,2.21,0,6.53,0,0,7.23,0,1.66,421.92,2.55,6.66,17.07,0,0,1.11,0,0,9.87,0,0,9.39,1.94,2.85,0,0
