stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,33.7,1111.51,0,0,0,0,0,0,0,0,0,0,0,0,170.31,0,0,0
  5-6,65.03,1314.48,0,0,0,0,14.25,0,0,0,46.36,0,0,19.18,24.25,0,0,0
  7-9,15.27,0,11.3,0,57.61,0,15.82,0,0,0,615.24,18.16,0,132.77,0,0,0,0
 10-12,0,23.78,11.3,0,35.96,0,0,0,0,0,243,0,0,51.4,4.05,4.76,8.5,0
 14-21,0,0,0,0,0.84,0,0,0.95,0,0.84,1.48,0,0,0,0,0,0,0
 24-34,0,0,0,0,3.97,0,0,0.88,0,0,9.94,0,0,0,0.59,0,0,1.82
 36-46,0,0,0,0,0,0,0,10.13,0,0,18.52,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.67,0.4,0,0.64,0.45,0,7.87,0,0,0,0,0,0,0
 60-70,0,0,0,0.88,0.76,0,0,0,0,0,3.73,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.93,0,0,0,0,0.8,0,0,0,0,0,0,0
120,0,0,0,1.07,0,3.22,0,3.69,0,0,1.78,0,3.86,0,0,0,0,0
