stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,12.81,609.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,94.7,1740.62,10.68,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,50.37,0,0,0,7.68,0,0,0,0,0,0,0
  7-9,4.07,23.95,6.86,0,0,0,78.65,0,0,0,0,16.64,0,0,0,0,0,0,636.05,3.56,0,156.17,0,19.21,0,0,0,0,0,0
 10-12,0,26.47,22.04,0,0,0,24.76,0,0,0,0,9.06,0,0,0,0,0,0,264.89,0,0,84.69,0,0,0,35.75,0,0,0,0
 14-21,0,0,0,12.63,2.02,0,10.22,0,0,0.91,0,0,0,0,0,3.83,0,1.99,59.41,0,1.06,2.53,1.66,0,21.42,0,15.55,13.77,0,0
 24-34,0,0,5.19,2.38,0.69,0,6.34,0.61,0,0.97,0,0,0,0,0,3.36,0,0.62,24.41,0,0.6,0,0.76,0,1.19,0,0.93,9.31,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,3.23,0,0.61,35.28,0,0,0,0.69,0,0,0,0,3.97,0,0
 48-58,0,0,0,0,0,0,4.78,2.08,1.1,1.3,0,0,0,0,0,0.86,0,0.38,60.94,0,0,0,0,0,0,0,0,19.6,0,0
 60-70,0,0,0,1.52,0,0,0.61,0,0,2.76,0,0,0,0,0.6,0.67,0,0,23.62,0,0,0,0.61,0,0,0,0,8.13,0,0
 72-82,0,0,0,2.83,0,0,2.12,0,0,0.84,0,0,0.55,0,0,1.97,0,0.7,34.49,0,0,0,0,0,0,0,0,3.53,0,0
 84-94,0,0,0,1.95,0,0,11.22,0.62,0,0,0.72,0,0,0,0.57,7.86,0,1.01,59.83,0,0.74,0,1.2,0,0,0,0,2.13,0,1.9
 96-106,0,0,0,2.64,0,0.6,4.2,0,0,0,2.9,0,0,0,0,1.03,0,0,53.3,0,1.18,0,0,0,0,0,0,0,0.67,0
108-118,0,0,0,0.71,0,0,5.35,0,0,2.76,0.48,0,0,0,1.29,0.49,0.53,0,33.17,0,0.74,0,0,0,0,0,0,0,0,0
120,0,0,0,0,18.15,0,9.3,0,0,1.34,0,0,0,2.66,2.56,0,0,0,35.8,0,0,0,1.12,0,0,0,0,0,0,0
