stage,epidermis,eye,fast_muscle,glial,iridophores,mesenchyme,neural,periderm,pronephros
 36-46,0,0,0,0,0,0,0,0,1.92
 48-58,0,0,0,0,2.21,0.86,1.06,0,0
 60-70,0,0,0,0,0,0.86,6.8,0,0
 72-82,0,0,0,0.92,0,0,2.1,1.1,0
 84-94,0,2.12,0,3.7,0,0.82,3.35,3.89,0
 96-106,0,0,2.2,6.91,0,0.91,1.17,1.23,0
108-118,0.45,0,8.03,3.17,0,0,2.06,5.65,0
120,2.08,0,8.04,5.28,0,0,0,0,0
