stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,115.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,184.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.02,0,0,0,0,0,4.54,0,0,0,0,0,0,76.39,6.18,0,16.31,0,0,0,0,0,0,0,0
 10-12,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.42,0,0,13.01,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,0,1.66,0,0,0,0,0,0,0,0,0,1.69,0,0,6.65,0.87,0,0,0,2.97,2.26,0.96,7.27,0,0,0
 24-34,0,0,0.66,0,3.87,0,0,0,0,0,0,0,3.43,0,2.1,0,0,30.21,0,0,0,1.71,0,0,0,2.34,0,0,0.85
 36-46,0,0,1.03,0,4.79,0,0,0,1.34,0,0,0,0,2.8,0.77,0,0,25.39,0,1.16,0,5.36,0,0,0,3.09,0,0,0
 48-58,0,0,0,0,2.3,0,0.42,0,4.27,0,0,0,0,0,1.66,0,0.64,23.9,0,0,0,0,0,0,0,3.23,0,0,0
 60-70,0,0,0,0,6.48,0,0,0,0,0,0,0,0,0,4.54,0,0,9.4,0,0,0,0,0,0,0,3.21,0,0,1.86
 72-82,0,0,0,0,5.7,0.55,0.55,0.89,2.09,0,0,0.52,0,0,4.74,0.92,0.75,25.04,0,0,0,0,0,0,0,2.95,0,0.61,1.31
 84-94,0,0,0,0,7.35,0,0,0,0.94,0,0,0,0,0,0,0,0,23.28,0,0,0,2.81,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.63,0,0,0,0.84,0,0,1.88,0,0,5.73,0,0,6.12,0,0,0,1.52,0,0,0,0,1.17,0,0.67
108-118,0,0,0.76,0.98,4.37,0,0,0.48,0,0.93,0,0,0,0,1.62,0,0,5.66,0,0,0,0,0,0,0,2.51,0,0,0
120,0,0,2.23,0,6.48,0,0,0,25.94,0,0,0,0,0,0,0,0,18.02,0,0,0,0,0,0,0,0,0,0,0
