stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,47.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,24.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,24.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,1.68,0,257.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,13.62,0,0,0,0,0.44,0,0,0,0
 60-70,0,1.05,0,1844.8,0,0,0,3.51,0,0,0,0,0,0,4.14,0,0,0,2,0,0,0,0,3.07,0,0.71,0,0
 72-82,0,17.49,0,2936.29,0,1.46,0.61,20.29,0,1.33,0,0,0,5.32,7.39,0,1.44,0.56,61.21,0,0.91,1.97,0,5.23,0,0,3.74,1.04
 84-94,0,8.98,0.65,2212.21,2.3,0,0,37.66,0.98,0,0,0,0.69,0.68,5.96,0.57,0,0,36.58,0,0,0.72,4.36,0,0,0,0.78,0
 96-106,0,1.85,13.71,2497.99,0,0,0,20.52,2.87,0,3.38,0,0,10.33,13.69,0,0,0.62,32.18,0,0,0,4.3,0,0.83,0,4.09,0
108-118,0,0.72,0.81,1555.78,0,0.81,1.27,9.65,0.71,0,0,0,0,0,9.86,0,0,0,38.49,0,0,1.16,0,4.07,1.01,0,0,0
120,0,2.36,0,908.88,0,0,0,45.29,0,2.63,5.69,7.56,0,0,4.3,0,0,0,46.93,5.26,0,0,2.1,0,0,0,0,0
