stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,71.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.41,24.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,5.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,1.01,0,0,0,1.14,2.72,1.01,0,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0.9,7.84,0,2.67,0,0,17.84,0,0,0,1.2,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0.91,0,2.28,56.31,0,5.82,0,0,16.04,0,1.26,0,0,0,0
 48-58,0,0,0,0,0,0,0.43,0,0,0,0.73,0,0,0,0,0,1.38,0.95,0,0,30.49,0,4.39,0,0,4.55,0,0,0,1.05,0,0
 60-70,0,0,0,2.95,0,0,14.9,0,4.27,0.62,0,0,0,0,0,0,4.91,0.89,0,0,19.82,0,3.81,0,0,18.88,0,0,0,0,0,1.07
 72-82,0,0,1.32,3,0,0,1.46,0,7.85,0.59,0,0.55,0,0,0,1.52,1.59,6.05,2.25,1.32,27.95,0,15.19,0,2.75,4.12,0,2.59,2.44,0,0,0
 84-94,0,0,0.66,0.61,0,0,13.76,0,3.16,0.64,0,1.75,1.53,0,0,0,8.86,0.95,0,0.7,34.95,0,4.84,0,0,17.62,0,4.15,5.82,0,1.01,0
 96-106,0,0,0.81,2.06,0,0,10.78,2.37,7.66,2.91,0,2.51,1.31,0,0,17.31,1.3,4.15,0,0,15.16,0,10.69,0,0,50.38,0,0,3.16,0.74,0,0.8
108-118,0,0,0,1.42,0.59,0.47,0,0,11.11,3.66,0,7.96,0,0.73,0.76,0,16.73,4.14,1.71,0.45,9.84,0,10.05,0,0,11.61,0,0,10.84,0.5,0,0
120,0,0,0,1.39,0,0,0,0,6.15,0,0,0,0,0,0,0,1.33,15.99,4.4,3.83,8.36,0,11.76,0,0,14.18,0,0,0,0,0,0
