stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,11.43,109.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,130.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.72,0,7.95,0,0,5.58,0,0,0,0,0,0,0,0,0,102.84,0,0,0,11.1,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,21.15,0,0,0,14.82,0,0,0,0,0,493.4,5.29,0,0,36.64,6.22,23.96,0,13.81,0,0
 14-21,0,0,0,0,0,0,1.69,0,0,45.28,0,0,0,0,1.81,0,45.43,0,0,2.79,0.8,0,21.92,0.81,100.09,0,0
 24-34,0,0,0,0,9.79,0,0.67,0,0,31.45,0,0,1.66,0,3.21,0.61,37.6,0,0,1.32,0,0,9.8,0.62,52.86,0,2.42
 36-46,0,0,0,0,1.74,0,5.47,0,0,36.17,0,0,0,14,0.67,0,24.43,0,15.58,0,0,0,5.42,0,74.96,0,0
 48-58,0,0,0,0,1.5,0,3.45,0,0,28.59,0,0,3.11,0,4.02,0,33.05,6.04,8.7,2.36,0,0,3.24,0,41.68,0,0
 60-70,0,0,0,0,2.74,0,9.01,0,0,27.38,0,0,1.08,0,1.46,0,17.66,0,17.32,3.63,0,0,5.5,0,29.08,0,0
 72-82,0,0,0,0,1.48,0,4.55,1.27,0,14.73,0,0,5.13,0,2.56,0,9.4,0,17.98,4.38,0,0,0,0,5.6,0,0
 84-94,0,0,5.29,0,7.5,0,5.54,0.57,0.89,5.43,0,0,3.52,0,1.1,0,21.42,0,15.55,6.62,0,0,0.58,0,6.81,0,0
 96-106,0,0,0,0,0.61,5.28,8.72,0,0,7.68,0,0,8.23,0,1.06,0,0.56,0,15.32,8.44,0,0,1.28,0,15.35,0,0
108-118,0,0,0,0,10.62,0,2,1.75,0,7.29,0,0,9.94,0,2.05,0,8.09,0,17.51,10.63,0,0.46,1.94,0,6.77,0.43,0
120,0,0,0,0,6.36,0,3.56,0,0,15.12,0,3.83,14.84,0,0,0,2.61,0,30.79,27.43,0,0,0,0,4.72,0,0
