stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.92,86.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.07,0,0,0,27.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.94,0,0,1.47,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0,0,59.78,0,0,0,0,0,0,0,1.18,0,1.06,54.33,0,0,0,0
 24-34,0,0,0,1.28,0,11.31,0,0,2.31,0,2,0,0,0,0,1.3,0,0,0,0,0,397.77,0,5.87,1.16,0,0,1.69,0,0,0,0,123.79,0,0,0,0
 36-46,0,0,0.95,0,0,25.19,0,0,18.14,0,0,0,0,0,0,0,0,1.63,0,0,0.56,932.75,0,7.76,0.8,0,0,1.48,0.73,0,0,0,239.6,0,0,2.81,0
 48-58,0,0,1.07,0,0,79.59,0,0,41.83,0,0.51,0,0,6.95,7.28,0,0,5.72,0,0,0.43,1544.32,3.51,3.86,0,0,0,6.49,0,0,0,0,267.06,0,0,2.13,0.63
 60-70,0,0,0,1.07,0,264,0,0,114.67,0,0,0,0,6.5,2.1,0,0,18.7,0,0,1.26,2279.35,0,3.26,15.97,0,0,1.12,0,0,3.95,0,248.21,0,0,2.02,8.13
 72-82,0,0,1.15,5.69,4.14,463.97,0,0,243.43,0,0,5.95,0.52,0,0,0,1.18,18.3,0,0,0,2497.36,0,3.38,1.27,0,1.77,0.79,0,0,0,0,188.79,0,0,1.15,9.45
 84-94,0,0,0,12.41,2.09,315.65,0,0,141.09,2.65,0,0.62,0,0,0.63,0,0,29.6,0,2.23,0,1749.9,0,4.22,0,0,0,0,0,0,0,0,119.59,1.67,4.44,0,0
 96-106,0,0,1.08,13.96,10.49,289.85,0,0.64,131.02,0,0,1.76,0.74,0,0,0,0,20.3,6.61,0,3.86,1744.55,5.21,6.64,1.81,0,0,3.89,0,0,0,0,60.99,0,0,2.02,9.62
108-118,0,0,0.41,10.31,0,313.36,0.43,0,141.31,0.5,0,1.39,0,1.37,0,0.56,0,30.89,0.93,0,4.08,1895.64,0,5.33,1.63,0,0,5.42,0,0,0,0,56.35,0,0,0,0
120,0,0,0,22.19,4.14,423.69,2.37,0,244.24,1.09,0,12.5,0,0,0,0,0,56.79,0,9.54,1.41,3826.45,1.38,27.46,7.82,0,0,17.15,0,0,0,0,113.13,0,0,0,0
