stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,43.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.74,11.42,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,31.15,68.5,0,11.41,0,0,0,0,0,2.14,0,0,0,0,0,0,3.4,0,0,6.42,38.86,0,0,0,0,0,0,2.3,0,5.7,5.04,1.81,0,0,173.3,0,0
 24-34,0,0,0,0,119.31,22.91,0,53.34,0,0.68,0,5.06,0,27.95,0,0,0,0,0,0.82,10.68,0.63,0,2.3,161.72,0,0,0,0,0,0,0,0,0.82,3.08,15.53,0,0,741.42,0,0.86
 36-46,0,0,0,0,198.01,1.38,0,125.02,0,15.97,0,71.26,0,0.56,0,0,0,0,2.66,0,11.62,2.12,0,4.17,427.18,0,2.92,0,0,0,5.42,0,9.06,0.58,0,34.84,0,0,515.63,0,0
 48-58,0,0,0,0,119.17,15.73,0,110.2,0,13.49,0.38,94.34,0.67,10.22,0,0,0,0,7.28,5.25,23.11,0.48,5.83,1.65,322.09,0,1.13,0.54,0,0,1.18,0,0.53,1.77,0,34.34,0,0,325.96,0,6.66
 60-70,0,0,0.7,0,159.78,0,0,156.2,0.6,34.52,0,191.1,0,5.8,1.66,0.62,0,3.25,0,0,79.94,0,5.04,1.27,635.54,0.62,2.07,0.87,0,0,9.58,0,9.92,0.64,0,59.58,0,7.82,307.82,8.52,4.38
 72-82,0,0,0,0,112.79,2.09,0,138.86,0,29.53,0,362.45,2.79,9.96,13.38,0.77,0,1.05,0,0,123.18,2.66,19.26,3.45,742.76,0,4.34,0,0,2.55,0,0,3.34,3.02,0,33.68,1.45,7.92,602.12,47.11,16.54
 84-94,0,0,0,0,239.51,2.12,1.26,89.79,0,29.94,0.77,287.28,3.41,6.08,7.28,1.65,0,0,0,2.24,85.1,3.56,18.29,11.41,535.57,3.48,1.75,0,0,0,0.93,0,0,0.78,0,23.24,2.84,5.38,550.14,43.06,1.64
 96-106,0,0,1.41,0,301.4,13.28,0.57,127.99,2.3,31.81,1.02,354.6,7.46,16.6,12.56,1.22,1.69,0,2.03,6.45,104.19,2.54,2.24,23.14,594.36,0,5.38,0,1.2,11.81,15.97,0,8.06,0,0,11.43,2.13,4.31,660.19,75.39,1.41
108-118,0,0,6.74,0.49,265.3,0.42,12.51,117.2,0,48.07,0.53,339.21,7.68,9.37,3.65,3.03,2.11,1.27,2.34,0,162.86,0.97,1.26,8.81,894.86,0,8.15,8.61,0,13.09,10.45,0,3.08,0.59,0,25.09,8.93,2.05,691.95,138.1,12.89
120,0,0,0,0,184.33,1.97,1.06,175.59,0,20.41,0,370.2,1.19,3.06,19.05,2.56,0,0,1.5,0,175.87,0,0,25.96,1619.81,0,9.81,0,0,10.01,9.48,0,2.12,0,0,35.37,0,0,841.88,209.68,0
