stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,38.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,3.53,0,0,5.32,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,25.51,0,0,0,10.62,0,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,0,1.23,0,0,1.91,2.73,0,0,0,0,0.83,2.46,2.52,0,0,0
 24-34,0,0,0.7,0,0,2.27,0,0,0,0.79,0,0,1.54,0,0.69,12.21,0,0.98,0,0,0,0,0,3.54,0,0,0
 36-46,0,0,0,0,0,1.34,0,0,0,0,0,0,1.32,0,0,36.9,1.44,0,0,0,0,0,0,3.36,0,0,0
 48-58,0,0,0,0,0,11.34,0,1.63,0,0,0,0,3.52,0,0,14.4,0,0,0,0,0,0,0,6.17,0,0,0
 60-70,0,0,0,0,0,15.53,0,13.09,0,0,0,0,7.9,3.55,1.99,30.97,0,0,0,0,0,0,0,3.03,0,0,0
 72-82,0,0.68,0,0,14.37,13.74,0,43.28,0,1.08,0,0,24.44,0,5.93,37.18,0,0,0,0,0,0,0,1.56,0,0,0
 84-94,0,0,1.53,0.74,30.29,9.98,0,45.93,0,0,0,0,26.68,0.69,2.58,67.48,0,0,0,0,0,0,0,5.53,3.25,0,2.25
 96-106,0,0,1.42,0,19.46,23.14,0,180.71,0,0,0.86,0,13.67,0,1.15,34.83,0,0,2.83,0,0,0,0,0,0,1.48,0
108-118,0,0,2.82,0,190.15,31.07,0.77,155.7,1.21,0,6.18,0,90.46,0,1.09,58.03,0,0,0,0,3.19,0,0,0,0,0,0
120,0,0,1.34,0,52.78,11.43,2.41,208.92,0,0,0,13.95,176.75,0,0,41.41,0,0,1.66,0,1.68,0,0,0,0,0,0
