stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,93.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94,0,0,0,0,0,0,0,0,0
  5-6,11.15,57.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,105.36,6.99,0,96.9,0,11.89,0,10.2,0,0,0,0,0,23.61,0,0,0,0,0,0,0,0,0,0,175.24,57.17,0,0,397.7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.17,0,18.02,0,0,0,6.72,0,0,0,0,0,47.83,0,0,0,0,0,0,0,0,0,0,135.68,201.35,0,0,445.84,0,0,0,89.48,0,0,0,0,0,0,0
 14-21,0,8.14,0,6.13,3.15,9.57,0,0,0,0,0,4.77,4.88,5.59,0,0,0,0,0,0,0,3.44,0,17,33.26,4.39,0,0,1.88,0,0,144.62,2.81,1.05,50.87,26.82,0,0,0,0
 24-34,0,0,0,0,1.99,0.6,0,6.89,0,9.09,0,19.12,0,0.67,0,0,0,0,0,0,0,0,0,1.92,250.34,0,5.78,4.23,0,0,1.45,0,0.6,0.78,0.62,66.93,0,0,0,0
 36-46,0,0,0,0,4.85,0,0,8.08,0,0.74,0,11.76,0,0,0,0,0,0,0,0,0,1.65,0,0,717.03,4.46,18.06,1.46,0,0,0.99,0,4.2,0,0,161.32,0,0,0,0
 48-58,0,0,0,0,0.67,1.85,0,94,0.88,0.39,0,26.07,0,0,0,0.53,0,0,0,0,1.28,10.55,0.45,1.22,1237,0,10.43,0.42,0,0,0.43,0,6.84,0,0,138.87,0,0.68,0,2.06
 60-70,0,0,0,0.68,2.75,2.72,0,390.22,0,2.81,0,55.44,0,0,0,0,0,8.93,0,0,1.22,12.24,0,1.99,1976.89,0,14.47,11.61,0,0,0.61,0,2.14,0,0,179.03,0,0,0.81,9.08
 72-82,0,0,2.68,1.51,16.27,0.85,0,789.02,0,0.8,1.23,60.61,1.42,0,0,0,0,0,0.64,0,2.19,27.67,1.23,0.49,1770.39,0,9.94,7.83,0,0,0,0,2.15,0.64,0,120.29,0,2.14,1.96,5.49
 84-94,0,0,2.52,0,7.95,9.44,0,490.09,0.56,9.05,0,38.4,0.59,0,0,0.86,0,0.67,2.34,0,3.94,11.47,1.64,0,1181.67,0,6.14,11.34,0,0,3.29,0,0,0,0,80.23,1.07,0,0,0
 96-106,0,0,0.81,0,4.88,0,1.05,473.32,1.98,0,0,35.38,1.94,0,0.58,0.63,1.23,0.75,1.23,12.06,0.67,41.36,0.56,1.82,1075.63,0,17.16,9.66,0,1.6,0,0,6.91,0,0,63.48,2.14,5.87,0.67,5.97
108-118,0,0,2.38,0.49,4.67,6.44,0,541.58,0,3.7,0,42,0,0,0,0,0.55,1.31,3.25,0,1.6,22.45,2.99,0.55,1209.45,0,10.35,13.18,0,0,3.2,0,3.57,0,0,31.23,0,0,0,0
120,0,0,0,0,30.42,4.35,0,521.27,0,0,0,42.4,0,0,0,4.77,0,0,3.86,0,4.02,22.83,6.75,5.09,2266.14,0,42.1,13.17,0,0,0,0,4.87,0,0,42.51,12.17,5.29,5.18,4.74
