stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,16.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,7.21,4.5,0,0,3.59,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.64,8.95,0,0,13.95,0,0,0,0,0,0,0,0
 14-21,0,0,2.11,0.89,0.94,24.08,0.85,0,3.47,0,0,0,0,4.97,48.78,0,3.47,2.21,0,0,0,6.83,1.08,135.89,0,0.83,0
 24-34,0,0.8,0,0,0,13.58,0,0,5.35,0,0,14.86,1.78,16.27,53.09,0,7.82,4.41,0,0,1.5,0,0,89.67,0,0,0
 36-46,0,0,0,0,0.56,20.53,0,0,0,0,0,29.41,0.68,7.73,82.29,0,6.61,6.52,0,0,0,0,0,96.92,0,0,0
 48-58,0,0,0,0,1.6,10.23,0,0,0,0,0,11.22,0.79,13.9,37.14,0,2.81,5.2,0,0,0,0,0,65.53,0,0,0
 60-70,0,0,0,0,4.17,1.48,0,0,0,0,0,8.35,0,6.97,18.64,0.71,1.22,4.61,0,0,0,0,0,22.9,0,2.55,0
 72-82,0,0,0.91,0,3.7,1.68,0,0.5,0.54,0,0,3.33,4.21,0.59,40.23,0.55,1.63,15.61,0,1.05,0,0,0,20.18,0,0,1.08
 84-94,0,0,4.16,0,3.12,0.64,1.54,0,0.8,0,1.29,1.29,1.13,2.2,33.9,0,4.09,27.32,0,0,0,0,0,4.01,1.28,0,0
 96-106,0,0,3.41,0,1.79,2.01,2.71,0,0,0,2.02,1.7,1.74,2.14,5.6,1.43,0.7,18.93,0,0,0,0,0,19.46,0,0,0
108-118,0,0,0.42,0,0.89,1.92,15.83,0,1.24,3.25,0.42,0,3.33,0.76,19.38,0.44,1.38,16.53,0,0,0,0,0,8.75,0,0,0
120,0,0,0,0,0,0,5.76,0,0,0,5.02,0,0,0,9.07,0,0,4.72,0,0,0,0,0,0,0,0,0
