stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,6.86,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.72,0.88,2.04,0,0,0,3.04,0,0,0,0,0,0,1.14,18.47,0,0,0,3.67,0,0,0,0,0.91,9.64,0,0,0
 24-34,0,0,0,0.61,0,2.77,0,0,0,1.86,0.67,0,0,0,1.33,0,0.89,45.8,0,3.44,1.16,0,0,0.69,1.06,0,0,16.02,0,0,1.4
 36-46,0,0,0,0,0,11.41,0,0,0,0.94,0,0,0,0,3.09,0,0.56,84.33,0,4.33,0,0,0,0,0,1.02,0,9.54,0,0,1.04
 48-58,0,0,0,0.4,0,16.06,0,0,0,4.63,0,0,0,1.28,6.33,0,1.07,139.04,0,8.31,0.45,0,0,0.78,0,0,0,26.14,0,0,1.93
 60-70,0,0,0,0,0,21.55,0.58,0,0,10.37,0,0,0,0,2.94,0.81,0,169.52,0,9.22,0,0,0,0.97,0,0,0,33.44,0,0,0
 72-82,0,0.69,0,0.59,1,54.82,0,0,0,16.02,0,0,2.96,0,15,0,0,231.96,0,4.73,0.95,0,0,0,0,0,0,13.02,0,0,0
 84-94,0,0,0,0,0,19.05,0,0,7.48,6.33,0,1.46,0,0,8.47,0.97,0,132.29,0.94,4.59,0,0,0,0,0,0.62,0,13.81,0.72,0,1
 96-106,0,0,0,2.73,0,16.66,0,1.07,0,6.11,0,0,0,0,4.36,0,0,106.86,0,2.6,1.28,0,0,1.99,0.7,0,0,9.17,0,2.07,2.1
108-118,0,4.02,2.21,5.39,0,30.14,0,0,0,3.54,0,0,0,0,5.87,0,0.61,118.61,0.53,2.33,0,0,0.89,1.03,0,0,0,4.07,0,0,0
120,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0,18.07,0,3.77,147.61,0,0,0,0,0,3.57,0,0,0,0,0,0,0
