stage,axial,blastomeres,eye,mesenchyme,mucous,neural,pronephros,taste
  3-4,0,53.48,0,0,0,0,0,0
  5-6,7.22,81.73,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.72,0,0
 14-21,0,0,0,0,0,0,1.05,0
 72-82,0,0,0,1.34,0,1.13,0,0.53
 84-94,0,0,0,0,0,0,0,6.78
 96-106,0,0,1.65,0,3.74,2.68,0,11.19
108-118,0,0,0,0,0,0,0,5.56
120,0,0,0,0,0,0,0,6.19
