stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,1205.29,22800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.4,0,0,0,0,0,0
  5-6,1194,15130.94,0,18.89,0,0,0,0,0,40.58,0,0,0,0,0,0,502.44,7.94,0,0,150.42,228.47,0,0,0,0,0,0
  7-9,84.91,54.42,0,93.5,0,0,416.32,0,0,99.02,0,0,0,0,0,0,2741.65,19.94,0,0,666.6,3.92,17.81,0,25.49,0,0,0
 10-12,0,45.9,0,26.97,0,0,196.77,0,0,77.51,0,0,0,0,0,0,927.99,26.49,0,0,210.3,0,14.29,0,37.97,0,0,0
 14-21,0,0,0,4.51,4.49,5.68,5.27,0,1.68,3.41,0,0,0,6.29,5.18,0,33.29,0.81,0,3.01,0,0,4.09,5.02,0,2.13,1.78,1.22
 24-34,0,0,0,0.65,2.19,0,0.75,0,0,0,0,0.68,0.77,0,2.88,0.79,18.46,0.69,0,0.64,0,0,0,0,0,0,6.56,0
 36-46,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0.57,2.95,0.84,0,0,0,0,2.37,0,0,0,2.01,0
 48-58,0,0,0.54,0,1.02,0,1.32,0,0,0,0,0,0.86,0,1.07,0.46,18.75,0,0,0.42,0,0,0.65,0,0,0,3,0
 60-70,0,0,0,0,0.63,0,2.74,0,0,0,0,0,0,0,1.24,0,22.75,0,2.19,0,0,0,0,0,0,0,1.39,0
 72-82,0,0,0,0,0,0,7.07,1.13,0.54,0,0.5,0,0,0,1.92,0,10.34,0,0,3.09,0,0,0.56,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.93,1.01,0,0,0,0,0,0,1.78,0,11.81,0,0,0,0,1.12,0,0,0,0,0,0
 96-106,0,0,0,0,2.4,0,2.59,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,2.15,0
108-118,0,0,1,1.47,0,0,0,0,0.82,0,0,0,0,0,0,0,6.81,0,1.47,0,0,0,1.57,0,0,0,1.8,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.43,0,0,1.45,0,0,0,0,0,0,0,0
