stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,3.54,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.24,7.43,0,0,5.1,0,0,0,0,0,0,0,0,0
 14-21,0,0.98,0,0,2.23,0,5.22,0,0,0,0,0,0,2.87,0,3.1,13.63,2.43,0,0,0,0,0,0,103.78,0,0,0,0,0
 24-34,0,0,0,0,4.97,0,3.44,0,0,0,0,0,0,0.6,0,0,149.54,0,0,0.69,0,0,0,0,187.24,0,0,2.66,0,0
 36-46,0,0,0,0,74.62,0,15.68,0,0,0,5.05,0,0,0,0,0,310.43,0,0,0,0,0,0,0,159.98,0,0,11.57,0,0
 48-58,0,0,10.1,0.45,227.49,0.45,13.72,0,0,0,0,0,0,4.22,0,2.63,674.58,0,0,4.98,0,0,0,0,110.22,0,0.4,5.87,0,0.4
 60-70,0,0,0.68,0,467.27,0,29.32,0,0,0,0,9.35,0,32.22,0,0,1293.56,0,0,0,0,0,3.02,0,127.39,0,0,3.15,0,16.16
 72-82,0,0,1.19,2.71,493.12,4.63,72.39,0,0,0,0,3.11,0,21.19,2.79,0,1455.21,0,0,0,0,0,0.78,0.73,66.77,0,0,7.21,0,3.71
 84-94,0,0,3.78,4.5,358.4,0,44.1,0,0,0,0,0,2.03,9.36,0,0,998.95,0,0,0.69,0,0,0,0,54.12,0.97,0,12.1,0,8.76
 96-106,0,0,10.87,4.14,340.53,0,49.96,0,1.36,2.24,0,0,1.25,12.29,0,0,756.65,0,0,0.6,0,1.36,6.32,0,35.92,1.83,0,16.64,0.93,0
108-118,0,0,10.92,0.72,282.23,0,59.02,0,0,0,2.08,1.06,0.47,10.71,0,0.44,1099.28,0,1.93,0,0,0,1.47,0,37.25,0.72,0,5.63,0,0
120,0,0,3.18,4.28,403.31,0,112.15,3.14,0,19.1,0,0,0,23.06,0,0,1827.23,0,0,0,0,0,6.77,0,147.46,0,0,21.96,0,0
