stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.95,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,4.58,0,0,0,0,0,0,0,0
 14-21,0,0,4.36,0,0,0,0,0,0,0,0,0,6.66,5.93,0,0,0,0.99,1.84,19.1,0.85,0,0,0
 24-34,0,0.8,2.12,0,0,0,0.62,0,0,0,7.2,0,6.42,9.33,0,0,0,0,0,5.37,2.21,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,7.96,0,0.69,8.27,0,0,0,0,0,0,0.57,0,0,0
 48-58,0,0,0.53,0,0,0,0,1.48,0,0,7.86,0,2.03,3.74,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,4.39,0,0,0,0,2,0,2.8,5.79,0,0.9,0,0,0,0,0,0,0,0,0,3.66,0.73
 72-82,0,0,1.75,0,1.92,0,0,5.68,0.87,10.54,5.55,1.12,1.43,2.3,0,0,0,0,0,0,0,0,0.82,0
 84-94,0,0,3.55,0,0,0,0,10.74,0,10.61,2.66,0,2.46,3.78,0,0,0,0,0,0,0,0,2.86,0
 96-106,0,0,1.22,0,0.71,1.48,0,4.22,0,29.46,2.17,0,2.03,4.33,0,0,0,0,0,0,0,0,1.75,0
108-118,0,0,3.57,2.51,0,0.48,0,3.07,0,56.61,14.62,1.35,2.52,4.12,0.43,0,0,0,0,0,0,0,8.53,0
120,0,0,0,0,0,0,0,2.5,0,30.8,1.23,0,0,12.2,0,0,0,0,0,0,0,9.46,6.12,0
