stage,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,olfactory,otic,presomitic_mesoderm,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,5.74,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.56,1.6,0,0
 24-34,0,0,0,5.64,0,0,0,0,0.64,0,0,0,0
 36-46,0,0,0,1.98,0,0.91,5.03,0,0,0,0,2.59,1.02
 48-58,0,0,0,4.12,1.22,0,0.8,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,4.75,0,0,0,0,2.58,0
 72-82,0,2.88,0,0.88,0.87,0,5.85,0.52,0,0,0,0,0
 84-94,2.08,0,0,0.78,0,0,4.85,0,0,0,0,0,0
 96-106,0,0,1.32,1.78,0,0,1.98,1.08,0,0,0,3.78,0
108-118,0,2.78,0,0,0,0,0,0,0,0,0,0,0
120,0,2.05,5.74,9.49,0,0,0,0,0,0,0,0,0
