stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,6.39,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,3.99,26.15,0,0,0,0,0,1.92,0,0,14.35,10.28,0,0,1.01,0,0
 24-34,0,0.61,13.52,0,2.49,0,0.82,0,0,0,2.23,0,3.16,0,0,0.74,0,11.53,0.61,0,7.35,96.78,0,0.86,0,0,23.66,0,0,0.75,9.17,21.23,0,0,1.49,0,6.19
 36-46,0,0,5.4,0.76,6.32,0,0,0.62,7.95,0.59,0,16.36,0,0,0,2.52,1.57,41.43,0,0.6,5.86,266.86,1.76,1.19,7.09,0,31.07,0,0.94,0,0.94,69.83,0,0,1.19,0,0
 48-58,0,0,10.26,0,43.87,1.84,0,0.49,8.02,0,1.76,0,0,5.4,0.4,0,0.54,34.12,0.83,9.77,9.62,460.71,0,0.69,0,0,50.54,0,0.77,1.66,0,86.13,0,0.64,0,0,11.9
 60-70,0,0,4.79,0,97.75,2.05,7.78,2.35,18.07,0.99,0,2.21,0,0,1.59,4.15,0,84.54,0,0,5.11,757.84,1.23,1.01,0,0,72.32,0,0,2.06,0,72.98,0,0,3.64,0.85,19.85
 72-82,0.54,0,10.73,0,92.14,1.07,0,0.66,13.74,0,3.03,1.21,0,2.14,0.81,1.54,0,109.24,0.79,2.26,9.51,570.65,1.45,0.54,0,1.05,27.23,0,0,0,0,76.84,0,7.21,2.19,3.31,0
 84-94,1.47,0,20.69,0.81,110.63,3.55,6.68,0.85,13.24,6.14,2.15,2.11,0.61,0.55,1.23,0,0,98.98,0.65,1.87,8.88,478.51,7.18,2.03,0,3.79,157.21,0,0,0,0,74.16,0,3.55,4.75,1.6,9.4
 96-106,1.08,0,16.27,3.16,56.88,4.34,7.66,2.7,7.3,5.38,3.31,1.19,1.8,0.6,4.18,4.54,0.98,123.32,1.65,2.11,12.31,462.7,4.47,5.15,0,5.06,76.01,0,0,0,0,32.63,0,3.01,6.27,4.56,20.94
108-118,0.94,0.74,39.56,0,89.4,15.15,8.38,2.61,10.82,2.54,4.45,2.64,0,13.91,9.9,0.45,6.23,168.32,8.48,1.03,16.09,647.45,0,6.51,0,5.04,107.96,0,0.42,1.26,0,35.65,0.48,3.79,5.26,3.55,16.16
120,4.32,0,24.15,14.25,142.43,9.33,10.02,10.21,29.2,1.46,0,32.86,0,5.74,2.63,0,0,205.75,0,36.26,24.8,996.33,0,5.02,0,1.79,89.31,1.12,0,0,0,26.36,0,0,5,0,0
