stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.36,541.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.35,0,0,0,0,0,0,0,0
  5-6,81.28,238.06,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.14,0,0,0,0,0,0,0,0
  7-9,30.3,7.9,26.19,0,5.53,0,0,0,0,24.49,0,0,0,0,0,0,0,89.41,3.7,0,10.71,0,123.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,12.08,0,0,0,0,5.59,0,0,0,0,0,0,0,70.91,10.39,0,26.81,0,85.34,7.65,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,2.26,0,0,0,0,0,1.47,0,0,0,0.86,0.94,0,0,0,53.26,6.26,2.91,3.42,0,0,0,0,0
 24-34,0,0,0.64,9.16,0,0,0,5.77,0,0,0.59,0,0,0,0.61,0,0,8.28,0.97,0.69,0,0,126.18,13.15,0,13.15,0,0,0,0,0
 36-46,0,0,0,16.55,0,0,0,1.46,0,0,2.09,0,0,0,1.35,0,0,26.35,0,0,0,0,140.11,13.76,0,20.85,0,0,0,0,1.45
 48-58,0,0,0,15.2,0.51,3.15,0.63,1.9,2.16,0,0,0,0,2.34,0,0,2.36,17.39,0,0,0,0,53.19,10.97,0,4.31,0,0,0,0,0
 60-70,0,0,0,22.53,5.91,6.66,0,1.85,2.33,0,2.84,0,3.58,0,1.81,0,0,9.77,0,0,0,0,66.22,2.02,0,14.69,0.61,0,0,0,0
 72-82,0,0,0,6.61,3.08,1.2,0,6.45,1.63,0,22.48,0,0,0,0.95,0,0,13.49,0,0,0,0,68.74,0.73,0,4.46,0.95,0,0,0,0
 84-94,0,0,0,24.21,0,9.03,0,3.25,9.61,0,19.52,0,0,0,3.42,0,0,14,0,0,0,0,202.91,9.96,0,2.55,1.86,1.5,0,0,0
 96-106,0,0,0,39.7,11.71,3.23,0,5.38,12.3,0,28.24,0,1.06,0.63,0,4.58,1.57,9.65,0,0.67,0,0,181.84,0,0,4.4,2.84,0,0,1.67,0
108-118,0,0,0.42,57.14,4.99,7.29,0,0.88,25.81,0,45.73,0,1.4,3.68,7.83,0,0,23.19,0,0.45,0,1.02,198.88,4.97,0,1,1.35,0,1.18,0,0
120,0,0,0,100.77,0,12.76,0,15.55,28.02,0,50.9,1.74,0,22.46,2.44,6.76,0,53.45,0,0,0,0,105.79,7.05,0,10.9,0,3.48,0,0,0
