stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,50.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,4.89,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.65,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.94,0,0,0,0,0,0,0,5.62,0,0,0,0,0,0,0
 14-21,0,0,0,1.92,3.84,0,0,0,0,0,0,0,0,0,0,28.47,0,0,5.3,0,0,0,0,3.46,14.15,0,0.98,0,0,0,0,0,0,0,4.09,1.41,0,0,0,0
 24-34,0,0,0,0.64,2.03,0,0,3,0.72,2.36,0,1.24,0,1.85,0,99.26,0.64,0,1.9,0,2.47,7.74,0,5.26,53.61,0,54.42,0,0,0,0,0,1.45,2.17,2.25,13.5,0,0,7.77,0
 36-46,0,0,0,0,0,1.78,0,5.15,6.92,0,0,8.86,0.66,0.65,18.07,46.93,0,0,6.43,0,1.32,1.32,0,0.72,228.85,0,71.68,0,0,0,0,0,5.91,6.25,0,20.18,0,0,2.82,0
 48-58,0,0,0,0,2.61,2.56,0,72.25,6.82,0,1.61,27.3,0,1.39,0,13.19,0,0,2.36,6.87,7.39,0,0.54,3.44,330.16,0,54.45,0,0,0,2.12,0,2.12,6.16,0,43.37,0,0,3.34,0
 60-70,0,0,0,0,0,10.85,0,179.47,3.05,4.69,4.87,204.66,0,2.49,0,11.44,8.93,0,17.87,12.98,39.77,0,0,2.7,495.89,0,75.48,6.48,0,0,0,0,18.01,6.19,0,30.94,0,1.42,4.66,5.73
 72-82,0,0,2.3,0,7.3,41.39,0,180.05,1.86,4.54,0,356.45,14.58,5.04,0.72,18.43,0.63,0.79,32.06,3.75,89.4,0,0,5.06,573.37,0,159.28,0.65,0,2.48,3.15,0,8.88,2.99,0,35.17,0,4.57,12.08,13.75
 84-94,0,0,8.52,0,2.22,66.43,0,464.26,3.17,0.56,0.6,308.36,25.07,0.82,2.59,45.3,2.24,0,96.18,9.75,58.62,0,0,1.37,284.81,0,111.68,0.7,0,0,3.55,1.4,1.6,0.81,0,18.01,0,4.87,7.06,9.77
 96-106,0,0,5.47,0,6.37,108.96,1.14,445.4,8.96,0,0,298.91,51.14,1.33,2.17,19.21,0,2.81,148.08,5.51,74.54,0,4.8,1.8,327.51,0,204.91,1.34,0,3.13,11.56,0.76,10.99,0.75,0,28.73,0,1.51,25.3,3.81
108-118,0,0,0.95,0,6.96,61.52,0,593.66,7.77,0.54,1.84,368.15,40.57,2.55,5.86,22.47,0,0.8,341.81,12.28,54.83,1.13,0.44,7.24,415.53,2.09,130.33,9.43,0,0,3.61,0,13.84,7.27,0,16.91,1.44,2.48,31.04,13.41
120,0,0,3.64,0,18.6,8.36,0,375.62,27.98,4.99,0,560.04,44.49,1.54,15.87,25.08,1.18,1.74,213.21,8.73,51.61,0,9.18,8.4,433.65,0,171.24,0,0,0,0,14.98,9.54,0,0,54.33,0,0,29.69,0
