stage,blastomeres,eye,glial,immune,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,75.77,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.19,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.07,0,0,1.99,0,0
 24-34,0,0.83,0,0,0.6,0,0,3.9,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.05,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,5.12,0,0,0,0,0
 72-82,0,1.87,1.22,0.8,0,0,1.02,0,0,0.49,0,0,1.25
 84-94,0,0,0.66,0,2.05,0,0,7.61,0,0,0,0,0
 96-106,0,0,0,0,0,0.81,0,4.28,0,1.27,0,0,0
108-118,0,0,0.88,0,0,0,0,7.81,0,1.7,0,1.92,0
120,0,0,0,0,0,0,0,0,2.7,0,0,0,0
