stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,16.36,89.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.95,0,0,11.25,0,0,11.46,0,0,0,0,0,0,17.64,0,8.66,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,4.48,0,0,1.14,0,5.02,0,0,1.23,0,0,20.6,0,0,0,0,8.39,0,1.64,0
 24-34,0,0,0,0,0,2.49,0,0,0,19.32,0,0,3.66,0,0,17.75,0,0,0,0.66,1.75,0,7.27,0
 36-46,0,0,0,0,0,6.01,0,0,0,19.21,0,0,2.03,0,0.9,43.01,0,0,0,0,11.91,0,2.64,0
 48-58,0,0,0,0,0,5.42,0,0,0,33.25,0,0,1.8,0.5,0.92,41.75,0,0,0,0,2.9,0,0.94,0
 60-70,0,0,0,0,0,14.21,0,0,0,139.54,0,0,0,0,0,42.11,0.79,0,0,0,0,0,5.74,0
 72-82,0,0,0,0,0,22.14,0.66,0,0,82.53,0,0.64,3.19,0,0,49,0,0,0,0,0,0,2.63,0
 84-94,0,0,0,0,1.52,22.45,3.56,0,0,124.2,0,0,1.77,0.95,0,31.58,1.12,0,0.72,0,8.65,1.14,5.15,0
 96-106,0,0,0,0,0,0,0,0,0,168.23,0,0,0.73,0.67,0,5.71,0,0,0.97,0,0,0,11.33,0
108-118,0,0,0,0,0.52,7.03,4.63,0,0,145.26,1.23,0,1.65,0,0,41.83,0,0,0,0,0,1.55,13.73,0.99
120,0,0,0,6.24,0,0,5.01,0,0,143.67,0,0,6.11,0,0,7.44,0,0,0,0,0,0,8.14,0
