stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.8,0,0,0,0,0,0,10.37,0,22.34,1.84,0,0,0,0,0,0
 24-34,0,0,0,3.88,0,0,2.8,27.83,0,0.8,0,0,0,0,0,0,1.31,0,3.13,3.51,0,0,6.33,40.35,7.12,1.32,0.82,0,0,2.59,0,0,0,198.02,1.04,9.57,0,0,2.85,0,7.31
 36-46,0,0,0,0,0,0,15.23,197.86,0,0,3.19,0,0,0,0,0.56,0,0,25.85,3.32,0,0,6.28,68.42,14.15,1.34,0,0,0,2.95,0,0,1.06,542.41,0,28.19,0,0,0.58,0,35.31
 48-58,0,0,0,2.05,0,0,60.18,471.49,0,7.68,16.95,0,0,0,0,3.67,0,0,40.26,21.8,0,0.51,23.37,232.09,4.88,0.91,1.16,0,0,13.1,0,0,0,725.36,0,32.8,0,0,1.88,0,46.83
 60-70,0,0,0,30.71,0.71,0,144.73,484.2,9.27,0,5.19,0,1.47,0,0,0.66,0.69,0,19.85,29.88,1.41,0,39.02,154.45,2.39,0,0,8.38,2.33,16.94,0,0,0,578.41,0,16.13,0,0,0,0,68.56
 72-82,0,0,0,11.32,37.53,0,519.97,466.72,3.76,0.56,17.47,0,2.03,6.33,0,1.02,0,0.96,17.18,48.61,0.89,1.57,36.73,221.72,1.86,1.79,2.01,4.01,0,10.16,0,0,0,353.62,0,13.24,4.99,0,4.84,7.06,12.4
 84-94,0,3.09,1,10.73,37.47,0,697.64,762.85,2.42,7.29,37.76,1.42,4.18,2.9,0.76,8.86,0,4.87,6.02,69.75,0,1.32,50.13,315.7,0,5.75,5.24,0,0,57.84,0,0,1.19,808.01,0,9.26,0.61,1.63,9.58,8.26,16.37
 96-106,0,0.83,0,23.65,130.3,1.28,1561.92,1568.66,12.68,20.85,92.14,8.76,21.86,21.03,3.99,14.98,5.33,12.71,17.9,228.67,12.73,4.47,113.41,381.37,2.03,15.3,4.67,0,7.56,90.04,3.39,0,0.78,887.65,0,32.53,8.88,5.13,44.48,7.51,29.71
108-118,0,5.45,0,38.3,54.51,4.58,1322.23,1395.02,5.04,5,61.91,3.66,9.51,5.44,1.64,5.74,1.48,31.36,7.5,116.78,0,10.19,124.93,444.66,0.41,0.6,4.88,0,0,57.4,0,0,0,789.01,0,14.6,0,2.65,8.33,4.28,20.46
120,0,0,0,28.41,45.3,0,1614.27,939.38,0,0,77.52,1.26,11.64,12.58,1.4,0,0,0,0,105.01,0,0,122.86,255.51,0,0,2.09,0,13.73,34.5,0,13.43,1.62,361.07,0,19.36,0,0,0,0,16.56
