stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,70.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.88,57.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,8.94,0,0,0,0,0,0,0,0
  7-9,0,9.68,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,8.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,20.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.55,0,1.89,0,0,0.86,0,0,0,0,0,0,0,0,1.02,94.09,0,0,0,0,0,0,0,17,0,0,0,0
 24-34,0,0,0.7,0,0,32.15,0,0,18.88,1.55,3.01,0,0,0,0,0.86,0,0,513.1,0,0,0,1,0,0,0,199.64,0,4.41,0,0
 36-46,0,0,0,0,0,32.36,0,0,89.25,0,5.08,0,0,0,0,4.2,0,0.66,738.89,2.62,0,0.64,0,7.23,0.56,0.74,377.94,0,10.58,0,0.57
 48-58,0,0,0,3.3,0,52.08,0,0,169.3,0,5.8,0,0,0,2.65,2.9,0,0,810.12,0,0,0,0,0,0,0,399.05,0.84,20.21,0,9.96
 60-70,0,0,0,0.95,0,50.15,6.21,0,158.44,0,30.42,0,0,0,0,5.48,0,0.6,582.07,0,0,0,0,0,0,0,250.22,0.73,9.25,0,0
 72-82,0,0,0,0.51,0,75.19,0.5,0,282.82,0,8.79,0,0.7,0,0,5.54,0,0,448.78,0,1.22,2.24,0,6.91,0,0,165.52,0.68,35.87,0.59,0
 84-94,0,0,0,0,0,103.24,0.6,0,194.11,0,4,0,0,0,0,16.42,0.92,0,333.8,0,0,2.6,0,1.34,0.62,0,81.37,0,32.19,0,0
 96-106,0,0,0,2.34,0,39.4,0,0,164.64,1.1,6.99,0,0,0,0,12.73,4.1,1.08,251.23,1.64,0,1.22,0,0,0,0,37.84,0,66.79,0,0
108-118,0,0,0,1.77,0.51,74.86,0,0.53,210.63,1.58,8.6,0,0,0.56,0,17.97,0,2.08,219.41,0,0,1.48,0,0,0,0,20.37,1.16,29.57,0,0
120,0,0,0,3.3,5.54,93.61,0,0,290.74,6.43,0,4.69,0,0,0,4.01,0,0,376.26,0,0,0,0,0,0,0,56.52,11.41,33.9,0,0
