stage,eye,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  7-9,0,0,0,7.03,0
 10-12,0,0,8.09,0,0
 14-21,0,0.83,0,0,0
 24-34,2.71,0,0,0,0
 48-58,0,0,1.82,0,0.89
 60-70,0,0,1.23,0,0.76
 72-82,0.7,0,0,0,0
 96-106,0,0,3.54,0,1.63
108-118,0,0,0.79,0,0
120,0,0,13.18,0,0
