stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,xanthophores
  3-4,47.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,60.39,0,0,3.56,0,0,0,0,0
 10-12,0,0,0,0,14.79,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.81,0,5.16,0,1.41,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.63,0,2.04,0,9.53,0,1.16,0,0,0,0
 48-58,0,0,0,0,1,0,0,0,0,0,0,2.58,0,5.25,0,16.6,0,0,0,0,1.04,0
 60-70,0,0,0,0.62,7.33,0,4.26,0,0,0,0,2.67,0,15.75,0,38.19,0,0.6,1.09,0,0,0
 72-82,0,0,0,0,10.69,0,5.24,0,0.74,0,0,0,0,7.97,0,106.88,0,0.5,0.64,0,1.51,0
 84-94,0,1.18,0,0,0,0,4.6,0,0,0,0,0,0.75,3.1,0,52.4,0,0,0,0,1.13,0
 96-106,0,2.46,2.11,1,9.37,0.65,0.97,1.02,0,0,7.59,0,0,12.62,0,118.07,0,3.02,2.94,0.68,0,0.8
108-118,0,0,0.45,0,0.51,0,1.29,0.65,0,0,0,0,0,2.85,0.93,142.66,0,0.5,0,0,0,1.39
120,0,0,2.37,0,18.18,2.51,0,8.8,0,2.69,0,0,0,11.54,0,138.74,0,1.14,6.3,0,0,0
