stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,2.09,0,0.81,0,0,0,0,0.87,0,0,0,0,0,0,9.7,0,0,0,3.06,0,2.24,0.84,1.21,0
 24-34,0.62,0,4.7,0,0,0,0,0,0,0,0,0.83,0,0,27.6,0,1.16,0,0,0,0,0.72,1.04,0
 36-46,0,0,0,0,0,0,2.26,0,0,0,0.72,0,0,0,18.71,0,0,4.18,0,0,0,1.84,0,0
 48-58,0.77,0,3.84,2.17,0,0,0.42,0,0,0.89,0,1.55,0,0.6,20.3,0,0,0.46,0,0.46,0,0.38,5.17,0
 60-70,0,0,28.21,1.97,3.13,0,5.03,0,0,0,0,4.69,1.41,0,19.92,0,2.08,4,0,1.29,0,1.33,0,0
 72-82,0,0,7.95,0.82,0,0,9.17,0,0,0,0,1.04,0,0,14.05,0.93,0.61,0.59,0,0,0,2.51,0.73,0
 84-94,0,0,15.16,0,0,0,4.75,0,0.7,0,0,0.8,0,0,11.8,2.19,0,0,0,0,0,4.2,8.39,0
 96-106,0.63,0,10.67,0,1.54,3.14,6.88,0,0,0,0,0,0,0,4.4,0,0,3.7,0,0,0,0,0,0
108-118,0.52,1.93,15.82,0,0,0,1.79,0,0,0,0,0,0,0.43,28.55,0,0.79,1.52,0,0,0,0,0,0
120,0,0,12.43,0,0,0,22.96,1.85,4.8,0,0,12.61,0,0,55.85,0,0,6.12,0,0,0,0,0,2.08
