stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0.87,0,0,0,0,0,0,0.88,0,0,0,0,0,0
 24-34,0,1.84,0,0,0,0,0,0,0,0,8.87,1.86,0,0,0,0,4.24,0,0.69,3.94,0,0,0,0,3.89,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,21,0,43.83,0.72,0,0,0,0,1.01,0,0,0,1.56,0,1.04,0,0
 48-58,0,2.16,0,0,1.03,0.39,0,0.78,1.78,0,0.42,14.92,0,0,0,0,10.12,0,63.61,2.93,14.13,0,0,0,4.66,0,0,0,26.95,0,4.98,0,0
 60-70,4.68,2.41,0.93,0,4.61,0,0,2.5,0,0,0.77,34.74,0,0,0,0,37.7,0,137.81,6.78,5.12,0,0,13.75,12.04,0,0,0,8.82,0,25.64,0,26.14
 72-82,0,0.59,1.28,0,25.68,0,0,3.08,2.42,0.6,26.08,36.16,0,0.72,0,0.62,160.63,1.79,339.9,8.44,58.72,0,1.33,3.27,96.14,0.67,0,0,25.74,0,140.33,4.28,194.21
 84-94,0,8.21,4.04,0,38.92,0,0,0,0,2.2,4.37,87.62,0,0,0,0,79.46,0,272.54,12.01,1.23,0,0,0,23.96,0.56,0,1.07,8.67,0,118.22,1.42,209.05
 96-106,5.6,4.07,8.57,0,49.31,0,2.49,0.64,10.52,0.76,15.2,132.8,0.74,2.21,0.79,7.08,242.6,0,263.31,24.65,27.75,0.64,0,13.79,273.79,14.87,0,1.32,3.5,0,242.92,4.38,473.06
108-118,0,2.05,7,1.34,35.01,1.3,2.8,13.06,4.21,2.82,3.51,131.25,0,6.37,0,5.35,230.27,0,387.39,19.34,46.21,2.26,0,1.43,360.84,2.05,0,4.45,4.2,7.21,50.96,2.02,349.37
120,0,10.54,0,0,1.44,0,1.11,0,9.18,6.01,30.39,458,0,1.62,0,0,531.67,0,1131.59,18.45,105.39,0,0,1.11,519.85,0,0,0,4.78,0,117.32,16.95,1440.05
