stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.81,86.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.26,77.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.73,21.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.93,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0.93,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,12.87,0,1.16,0,0,1.26,0,0
 36-46,0,0,0,0,1.39,0,0,0,0,0,0,1.29,0,0.7,0,0,0,0,10.64,0,45.99,0,0,0,0,0,0,1.13
 48-58,0,0,0,0,4.83,0.83,0.94,0.6,0,0,0,0,0,1.93,0,4.42,5.22,4.77,0,0,46.25,0,7.29,0,0,2.67,0,3.6
 60-70,0,0,0,0,4.63,6.1,0,0,0,0,0,0,6.87,1.69,0,5.49,3.96,0,0,0,23,0,0,0,0,0,0,0
 72-82,0,0,0,1.33,7.08,8.82,0,0,0,0,0,2.52,0,6.26,0.72,0,10.3,2.25,0,0,17.88,0,0,0,0,0,0,0
 84-94,0,0,3.86,0,0,11,0,0,0,0,0,0.68,0,0.97,0,0,13.79,0,0,0,45.58,0,0,0.61,0.59,0,0,1.57
 96-106,0,0,0.86,2.18,16.08,5.19,10.54,2.11,2.07,1.53,0,1.75,0,8.92,0,2.97,13.33,1.2,1.87,0,37.16,0,0,0,0,0,3.65,7.18
108-118,0,0,0.52,0,6.49,8.14,0,0,0.67,0,0.61,0,0,0,0,4.18,3.94,0,0.66,0,22.28,0,0,0,0,0,0,0
120,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,2.12,0,0,0,1.12,6.93,0,0,0,0,0,1.59,0
