stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature
  3-4,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,8.82,0,0,0,0,0,0,0,0,0,0,13.67,8.57,0,0,0,0,0
  7-9,0,0,0,0,5.41,0,0,0,0,0,0,0,5.94,4.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0,0
 14-21,0,0,3.97,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,1.42,0
 24-34,0,0,6.57,0,0,0,0,0,1.04,0,0.86,0,9.96,0,0,0.95,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0
 48-58,0,0,0,1.11,0.6,0.52,0,0,0,1.04,2.04,0,11.26,0,0,0,0,0,0
 60-70,0,0,0,0,2.02,0,0,0,0,0,0.84,0,5.65,0,0,0,0,3.13,0
 72-82,0,0,0.69,0,5.56,0,0,0,0,0,5.89,0,5.33,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.64,0,0,2.42,4.8,0,2.59,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,4.11,0,0,0,9.33,0,0,0,0,0,0,0,0.65
108-118,0,0,0.66,0,5.27,0,1.86,0.87,0,0,5.41,0.97,5.06,0,2.27,1.49,0,0,0
120,0,0,4.29,0,0,5.53,0,0,0,0,1.65,0,23.74,0,0,0,2.39,0,0
