stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste
  3-4,0,267.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.44,184.59,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,15.86,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,56.5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,5.32,0,0,0,0,0,0
 24-34,0,0,0,0.65,0,0.8,0,0,0,0,0,0,0,0,0,0,1.67,12.84,0,0,0,0,0,0,0,1.47,0
 36-46,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2,0,0,0,0,0,0,0,9.96,0
 48-58,0,0,0,0,0,1.3,0,0,0,1.57,0,0,0,0,1.56,0,0,102.02,0,0,0,0,0,0,0,23.53,0
 60-70,0,0,0,0.57,0,8.76,0,0,3.38,0,0,0,0,0,0,0,0,254.82,0,0,0,0,0,0,0,12.11,0
 72-82,0,0,0,0.6,5.13,14.14,0.73,2.26,9.27,0,0,1.04,0,0,1.85,1.43,0,341.51,0,2,0,0,0,0,0,21.47,2.31
 84-94,0,0,0,1.27,0,22.01,0,0,4.44,0,0,2.4,0,0,0.94,0,0,281.42,0,0,0,0,0,0,0,10.8,0
 96-106,0,0,0,1.29,4.87,11.27,0,0,6.2,0,0,0,0,0,4.18,0,0,243.59,1.44,0,0,0,0,0,0,15.86,0
108-118,0,0,0,4.64,0,11.92,0,1.42,5.49,0,0,0,0,1.34,3.88,0,0,182.45,0,7.59,0,0,0.51,0,0.49,10.73,0
120,0,0,1.28,0,0,23.37,0,0,0,0,0,0,1.23,0,8.39,0,0,452.7,0,0,0,3.68,0,3.93,0,1.19,0
