stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,30.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0
  7-9,19.44,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,15.96,0,0,0,0,0,0,0,0,0,0
 10-12,9.54,0,3.04,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.94,0,0,30.8,0,0,0,0,0,9.29,0,0,0,0
 14-21,0,0,1.07,8.67,0,0,0,0,0,0,0,1.09,0,0,2.14,0,0,0,1.05,1.06,21.64,1.03,0,0,1.61,0.92,0.86,0,0.81,3.29,0,0,0,0
 24-34,0,0.81,0,0,0,0,2.57,0,1.07,0,0.68,0,0,0,7.01,2.28,0.65,0.69,2.25,0,41.32,0.76,0,0,4.91,0,0,0,1.27,11.85,0,0,0,0
 36-46,0,0,0,0.86,0,0,37.71,0,0.68,0,4.37,0,0,0,22.26,0.65,0.57,0,7.12,0,137.63,1.3,0,0,2.52,0,0,0,0,25.86,0,0,0,0
 48-58,0,0,0,3.39,0.5,0,25.09,0,0,0,2.05,0,0,0,13.22,4.84,0,0,1.23,0,57.82,0,0,0,1.3,0,0,1.28,0,6.84,0,0,0,0
 60-70,0,0,0,0.71,0,0,16.92,0,0,0,4.34,0,0,0,43.49,0,0,0,0,0,28.78,1.51,0,0,0,0,0,0,0,2,0,0,0,0
 72-82,0,0,0,0,0.72,0,52.31,0,0,3.24,3.38,0.65,0,0,19.49,0,0,0,6.19,0,17.88,0,1.59,0,0.83,0,0,0,0,5.9,0,0.56,0.62,0
 84-94,0,0,0,0,0.92,0,24.83,0,0,0,2.05,0,0.74,0,48.73,0.65,0,0,5.74,0,20.8,0,5.57,0,2.61,0,0,0,0,2.26,4.99,0,0,0.64
 96-106,0,0,0,1.2,4.87,0,11.27,0.93,0,0,5.47,0,0,0,33.45,0.83,0.74,0,3.78,0,19.47,0,8.07,0,2.57,0,0,0,0,0,0,0,0.81,0
108-118,0,0,0,18.45,9.75,0.97,33.6,0,0,0,7.98,0.47,0,0,33.49,1.36,0,1.33,7.96,0,28.73,1.23,7.66,0,0,0,0.55,0,0,4.54,0,0,2.15,0.46
120,0,0,0,0,0,0,34.08,0,0,0,13.2,0,0,9.97,59.43,0,0,0,21.04,1.74,81.8,0,0,0,1.82,0,0,0,0,0,0,0,2.19,0
