stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,45.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.55,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,33.98,0,0,0,29.5,0,0,0,0,0,0,0,0,0
 10-12,0,4.32,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92,0,0,0,20.85,0,6.56,0,9.57,0,6.54,0,0,0
 14-21,0,0,0,0.89,3.37,0,0,1.72,0,0,0,3.94,0,0,0,31.78,0,0,0,0,18.5,0,0,0,0,0,0,1.17,9.43,0,2.3,2.05,0,0
 24-34,0,0,0,0.61,0.67,0,0,4.93,0,0,2.44,1.01,0,0.81,0,2.44,0,2.84,0,2.62,27.6,1.8,0,0,0,0.72,0,0,21.33,0.82,1.27,8.73,0.79,0
 36-46,0,0,0,0,0,0,0,5.68,0,0.78,5.6,0.61,0,0,1.49,5.17,0,2.25,0,1.18,42.04,3.48,1.04,4.08,0,1.24,0,0,31.44,0,0,7.74,0,0
 48-58,0,0,0,0,0,0,0,6.3,0,0,4.1,0,1.13,0,0,4.05,0.86,0.93,0.55,0,24.04,0.94,2.07,0,0,0,0,0,25.75,0,0,4.28,0,0
 60-70,0,0,0,0,0,4.83,0,11.68,0,0.9,2.56,0.63,0,0,0,1.33,0,4.44,0,0,32.38,0,0,0,0,0,0,0,20.51,0,0,0,0,0
 72-82,0,0,0,0,2.37,0,0,15.23,0.74,1.8,4.15,2.9,0,0,0,4.18,0,1.49,0,0,31.07,1.39,0,0,0,3.01,0,0,72.28,0,0,1.15,0,0.84
 84-94,0,0,0,0,0,0,0,12.45,0.67,0.58,4.99,2.47,2.21,0,0.62,2.88,0,4.06,0,0,8.9,0,0,0,0,0,0,0,130.33,0,0,0,0,0
 96-106,0,0,0.89,0.64,1.16,0,0,0.63,0,0,4.72,21.62,0,0,0,2.52,0,2.4,0,0,22.59,0,0,0,0,0,0,0,210.14,0,0,0.67,0,0
108-118,0,0,0.6,0,0,0,0.59,3.13,0,1.34,2.75,53.63,1.53,0,5.45,10.79,0,3.11,0,0.48,22.79,2.51,2.21,0,0,0.92,0,0,208.49,0,0,1.5,1.41,0
120,0,0,0,0,0,1.42,0,5,0,0,2.82,56.24,0,0,0,3.1,0,5.1,0,0,36.98,0,0,0,0,2.34,0,0,159.39,0,0,0,0,0
