stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.68,920.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.56,408.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.73,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.92,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,81.13,0,0,0,28.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.46,6.95,0,0,17.95,0,10.98,0,13.98,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.86,3.43,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,29.48,0,0,0,0,0,0,1.07,0,0,1.96,12.74,0,0,0,0,0
 24-34,4.02,0,0,1.59,0,0,3.73,0,0,0,0,2.27,0,0,0,0,0,0,0,4.87,0,0,2.74,54.39,0,1.44,0,0,3.68,0,0,0,0,1.16,17.76,0,0,3.22,0,0
 36-46,0,0,0,5.4,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,3.57,46.4,0,0,0,0,0,0.81,0,1.06,0,0,17.47,0,0,1.76,0,0
 48-58,0,0,0,0.51,0,0,16.9,0.69,0,0,7,0,0,0,0,0,0,0,0,2.12,0,0,1.15,56.6,0,0,0,0,0,0,0,0,2.8,0,19.25,0,0,3.05,0,2.16
 60-70,0,0,0,1.93,0,0,88.9,1.24,0,0,0,0,0,1.92,0,6.19,0,0,0,31.52,0,0,4.39,91.04,1.69,0.98,0,0,1,0,0,0,0,0,14.27,0,0,2.44,0,1.18
 72-82,0,0,0,3.27,3.05,0,100.89,0.55,0,0,20.22,0,0,1.58,0.96,0.69,0,0,0,13.13,0,0,1.11,186.82,0,0,2.56,0,2.64,0,0,0,0,0,29.62,0,0,3.12,0.91,0
 84-94,0,0,0.7,4.74,8.22,0,108.54,19.98,0,0.89,17.28,0,0,2.82,0,10.1,1.05,0,0,14.21,0.57,0,3.44,156.76,0,0,0.61,0,1.14,0,0,0,0.73,0,25.35,0,6.22,0.94,0,1.97
 96-106,0,0,0,1.29,1.02,0,155.73,1.56,1.68,0.74,21.23,0,0.78,1,0,0,0,8.31,1.15,10.01,0,0.75,3.5,143.64,0,0,1.56,0,6.37,0,0,0,1.15,0,14.48,0.62,0,0.99,0,0
108-118,0,0,0,19.19,12.99,14.1,193.31,0,0.46,6.04,26.96,0,0,0,1.06,1.02,0,0.5,1.09,33.48,0,0,4.53,209.48,0,0,3.6,0,1.45,0,0,0,1.49,0,12.31,0.68,0,3.13,2.23,3.79
120,0,0,0,22.69,8.02,0,206.15,1.18,1.8,0,71.92,0,0,0,0,0,0,0,1.64,45.84,0,2.76,5.41,572.78,0,13.66,0,0,6.01,0,0,12.14,2.07,0,18.63,0,0,0,1.93,5.63
