stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,10.2,194.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,0,0,0,0,0,0,0
  5-6,7.81,126.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,20.2,0,0,0,3.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,32.99,5.97,0,0,6.14,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,4.82,0,0,0,41.73,0,0,0,0,0,4.07,0.83,38.08,0,12.35,17.49,2.97,1.15,1.3,47.97,0,133.87,0,0,0
 24-34,0,0,0,0,1.28,0,0.69,0,39.62,0,0,0,5.54,0,7.27,0,34.66,0,29.62,10.47,0,0.89,0,33.18,0.71,82.28,0,0,0
 36-46,0,0,0,0,1.91,0,0.67,0,9.89,0,0.74,0,0,0,3.2,0,59.23,0,57.81,0.7,0,9.57,0,35.99,0,43.11,0,0,0
 48-58,0,0,0,0,0,0,1.7,0,15.11,0,0,1.3,0,0,6.13,0,27.73,0,26.93,1.68,0,7.7,0,14.84,0,36.77,0,0,0
 60-70,0,0,0,0,0,0,5.03,0,12.86,0,0,1.82,0,0,0,0,28.32,0,54.28,4.93,0,2.05,0,11.27,0,37.48,0,0,0
 72-82,0,0,0,0,0.89,4.03,18.73,0,22.06,0,0,2.93,0,0,0.54,0,37.46,0,42.73,11.78,0,4.61,0,1.99,0,30.26,0,0,0
 84-94,0,0,0,0.59,0,0,6.3,0,19.96,1.68,0,5.3,0,4.39,1.88,0,20.35,0,59.36,22.32,0,9.98,0,9.07,0,35.24,0,0,0
 96-106,0,0,0,0,0.59,0,1.92,0,43.26,0,0,5.55,0,0.58,0,0,27.71,0,78.58,14.89,0,2.97,0,5.96,0,32.31,0,0,0.63
108-118,0,0,0,0,0,0,6.26,0.73,14.07,0,0,4.1,0,1.75,1.39,0,28.5,0,46.88,17.17,0,0,0,8.44,0,33.67,4.38,0,0
120,0,0,0,0,0,0,4.14,0,9.62,0,1.63,9.19,0,11.42,0,0,28.35,0,61.02,18.57,0,10,0,13.59,0,9.84,0,9.25,0
