stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,iridophores,liver,mesenchyme,muscle,neural,notochord,periderm,pronephros,spinal_cord,vasculature
  3-4,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0
 14-21,0,0,1.2,0,0,0,0,0,0,0,0,0,5.24,0,0,0,0,3.41
 24-34,0,0,0,0,59.89,0,0,0,0,0,0,0,4.62,0.66,0,0,0.81,2.75
 36-46,0,0,0,0,154.65,0,0,0,0,0,0,0.85,6.26,0,0,0,0,0
 48-58,0,0,0,0,220.97,0,0.53,0,0,0,1.14,0.44,6.91,0,0,0,0,0.73
 60-70,0,0,0,0,235,0,0.96,0,0,0,0,0,4.2,0,3.4,0,0,0
 72-82,0,2.13,0,0,202.33,0,0,0,0,8.23,0,0,9.64,0,0,0,0,2.09
 84-94,0,0,0,0,254.82,0,0,0,0,7.51,0,0,4.49,0,0.97,0,0,2.49
 96-106,0,0,0.85,1.97,163.58,0,1.58,1.49,4.84,43.87,0,3.92,10.88,0,2.79,0,2.68,0.7
108-118,0,2.31,0,0,202.3,3.33,0,0,0,141.28,3.92,0.59,14.97,0,0.98,0,0,2.9
120,0,0,6.91,0,127.65,0,7.56,0,0,81.45,0,0,28.27,0,0,1.58,8.47,0
