stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0
 14-21,0,2.58,0.93,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,2.4,10.95,0,0,0.88,0,5.39,0,0,1.23,0.89,0,0,0,0
 24-34,1.31,1.41,0,4.7,0.8,0,0.68,0,0,0,0,0,0,0,11.23,0,0,2.93,88.01,0.6,1.63,1.03,0,0.65,2.33,1.9,0,11.9,0,0,0,0
 36-46,0,5.26,0,8.75,0,0,3.53,0,0,0,0,0,0,0,1.57,0,0,1.42,92.77,0,1.2,0,0,0,0,0,0,13.57,0,0,2.89,0
 48-58,0,2.51,0,25.99,0,0,18.17,0,0.71,0,0,0,0,0,2.24,0,0,0.57,71.38,0,0,0,0,7.16,0,0,0,11.19,0,0,0.46,0
 60-70,0,1.8,0,26.43,0,0,0,4.11,0.62,0,1.74,0,0,0,20.01,0,0,0,89.06,0.65,0,0,0,12.48,0,0,0,9.57,0.84,0,0,0
 72-82,0,1.03,1.4,33.85,0,0,3.82,0,0,0,0.57,0,0,0,7.19,1.09,0,4.88,67.11,0,0,1.86,0,13.45,0,0,0,12.31,0.77,1.51,0.65,2.08
 84-94,0,6.49,7.16,29.09,1.31,2.34,9.32,0.9,0,0,0,0,0,0.96,19.62,0,1.19,2.49,86.53,0,1.86,0,0,29.81,0,0,0,16.26,0,0,2.01,0
 96-106,0,5.49,0.99,19.53,0,0,6.31,0.97,2.59,0,0,2.39,0,0,12.3,1.24,0,0,29.11,0,0,0,0,26.54,0,0,0,0,2.77,0,3,0
108-118,0,3.19,4.26,39.33,1.08,0,16.19,1.04,0,0,0.44,0.64,0.87,0,11.93,0,0,1.75,92.2,1.05,0,0,0,17.79,0,0,0,0,0,0,1.36,0
120,0,1.36,6.66,20.99,2.53,0,98.54,1.31,0,2.23,0,0,0,0,4.81,0,0,0,267.25,0,0,2.34,0,8.55,0,0,0,0,0,0,0,0
