stage,blastomeres,eye,immune,neural,notochord
  3-4,58.91,0,0,0,0
  5-6,14.29,0,0,0,0
 10-12,0,0,0,25.48,0
 14-21,0,0,0,0,1.68
 48-58,0,0,1.34,7.59,0
 72-82,0,0,4.85,1.19,0
 84-94,0,0,2.39,0,0
 96-106,0,0,12.87,0,0
108-118,0,0,14.54,3.72,0
120,0,1.29,49.42,2.35,0
