stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,2.27,0,0,0
 24-34,0,0.65,0.66,0,0,0,0,0,0,0,0,0,2.71,0,0,0,1961.04,0,0,0,0,0,5.06,2.48,10.12,0,0,0
 36-46,0,0,0,3.06,0,0,0,1.57,0,0,0,0,1.18,0,0,1.32,4767.31,9.68,1.98,0,0,0,3.08,0,7.2,0,0,0
 48-58,0,0.42,0,12.31,0,0.42,2.95,7.14,0.53,0.41,0,1.02,50.46,0,0,0,3335.76,0,0,0,0,0,0,0,13.66,0,0.51,4.22
 60-70,0,0,0,14.58,0,0,0,4.37,0,0,0,0,3.59,0,0,0,1278.87,0,0,0,0,0,0,0,1.61,0,0,0
 72-82,0,0,6.54,0.61,0,0,0,1.71,0,0,0,0,9.99,1.48,0,1.07,3229.33,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,14.88,0,0,0,0,0,0,0,0,2.56,0,0,0,20.91,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,5.6,3.15,151.46,4.23,0,1.74,0,0,0,0,0,5.38,0,0,7.64,2701.27,0,0,0.74,0,0,4.59,0,2.33,0,0,0
108-118,0,1.32,0,78.48,0,0,0.46,3.91,4.95,0,0,0,5.71,0,2.55,9.4,3816.85,0,0,0,0,5.26,0.63,0,0,2.03,1.02,0
120,0,0,10.93,31.7,0,0,0,8.03,0,0,1.77,0,44.88,0,0,2.44,6730.28,5.58,0,0,0,0,0,0,0,0,5.43,0
