stage,heart,neural,periderm,vasculature
 24-34,0,0,0.89,1.14
 36-46,0.56,14.18,0,0.65
 48-58,0.45,0,0,3.61
 60-70,0,0,0,5.67
 72-82,0.66,0,0,5.22
 84-94,0,0,0,4.85
 96-106,0,0,0,3.52
108-118,0,0,0,4.23
120,0,0,0,35.57
