stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,neural,olfactory,periderm,spinal_cord,vasculature
  5-6,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.75,0,0,0,0,0,0,0,0,0,0,5.09,0,0
 24-34,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.74,0,4.34,0,0
 48-58,0,0,0,0,3.35,0,2.93,0,0,0,0.49,1.44,0,0,0.73,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.28,0,1.95,0,0
 72-82,0,0,0,0,13.04,0,0,0,0,1.07,1.23,4.22,0,0,0,5.97
 84-94,0,0,0,0,0.71,0,0,0.63,0.99,0,2.6,6.56,0,1.04,0,0
 96-106,0,0.81,0,0.77,0,0,0,0,0,0,0,6.8,0.84,1.64,0,0
108-118,0,0,0,0.45,0,0.91,0,1.03,0,0,0.55,0,0,7.53,0,0
120,0,0,0,0,0,0,1.43,1.73,0,0,0,11.36,0,1.43,0,0
