stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,ionocyte,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,47.15,0,0,0,7.9,0,4.52,0,0,0,0,0,0
 14-21,60.18,0,0,7.26,0,0,0,1.18,0,2.64,0,0,0,0,0,0,0.97,0.93,0.86,0,0,0
 24-34,17.64,0,0,37.3,0,0,0,0,0,5.24,0,0.77,0,0,0,0,0,0,0,0,0,0
 36-46,1.46,0,0,26.42,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,18.59,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 60-70,0,12.52,0,28.39,0.74,0,0,0.58,0,2.21,0,0,0,0,0,0,0,0,0,0,1.67,1.46
 72-82,0,0,0,3.04,0.82,0,0,2.05,0.91,5.48,0,0,0,0,0,0.59,0,0,0,0,5.54,1.68
 84-94,3.65,0,0,8.86,0.7,0,0,0.85,0,0,0,1.28,0,0,1.31,0,0,0,0,0,0.58,3.39
 96-106,2.06,0,1.64,24.43,9.68,0,0,7.1,0,2.22,0,0,0.57,0,0,0,0,0,0,0,0.69,5.05
108-118,4.85,0,0,33.91,1.26,0.74,0.44,4.19,0,0,0,0.84,0,0,0,0,0,0,0.42,0.89,5.1,1.74
120,5.86,0,0,87.38,2.48,0,0,3.56,0,0,0,0,0,0,2.76,0,0,0,0,0,2.15,0
