stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature
  5-6,26.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.38,0,0,0,0,0,0,31.43,9.02,0,0,0,9.82,0,0
 10-12,5.27,5.89,0,0,0,0,0,0,0,0,0,0,23.71,0,4.34,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0
 24-34,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,4.68
 36-46,0,0,0,0,0,0,0,0,15.89,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,55.78,0,0.38,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,115.1,0,1.98,0.59,1.12,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.79,0.89,99.09,0,1.26,0,2.39,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.97,0,240.71,0,0,0,0.95,0,0,0,0,0,0,0
 96-106,0,0,0.78,0,0,3.66,0,0,268.34,0,1.46,0,0,0,0,0,0.69,0,0,0
108-118,0,0,0,0,2.43,0,0,0,251.85,0,1.28,0,3.68,0,0,1.08,0.51,0,0,0
120,0,0,0,14.98,0,0,0,0,315.95,5.66,0,0,13.46,0,0,0,0,0,0,0
