stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,25.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.96,0,0,0,13.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.88,0,0,1.75,0,0,0,0,0,0,0.89,0,2.25,0,0,0,0,1.74,0,0,0.98,29.02,0,0,1.04,0,0,7.18,0.88,0,0,3.84,13.26,0,0,0,0,0
 24-34,0,0.9,8.3,1.41,0,2.96,0,0.89,0,0,1.01,0,2.16,4.62,3.79,0,0.68,0,0,5.06,0,0,8.99,148.65,1.18,2.66,3.61,0,0,14.27,0,2.06,0,0,36.04,0,0,5.55,0,0.77
 36-46,0,0,9.41,4.5,0,7.13,0,0,2.41,3.21,0.95,0,0.87,0,1.29,0,0,0,24.94,6.44,0,0,6.01,260.5,1.29,4.74,0,0,0,32.93,0,0,0,0,51.69,0,0,1.77,0,7.54
 48-58,0,0,7.36,0.82,0,58.58,0,6.66,1.48,16,0,0,0,0,0.39,3.3,0.96,0,0,16.7,0.37,0.45,1.04,275.17,0,6.17,0.4,0,0,9.92,0,4.59,1.36,0,35.12,0,0.42,1.95,0,0
 60-70,0,0.82,11.35,0.59,0,169.7,1.08,7.95,1.38,27.72,1.26,0,0,0.99,0.61,7,0,1.83,0,26.66,0,0,1.74,410.42,0.7,0.72,0,0,0,14.08,0,0,1.91,0,38.14,0,0,0,1.13,3.32
 72-82,0,1.69,4.45,24.93,0,238.83,4.67,0.5,0.51,9.57,2.95,0,0,4.92,0,0,0.79,0,3.71,24.34,0,1.14,0.62,338.1,0,1.22,0.61,0,0,3.49,0,0,0.53,0,27.64,0,1.34,4.61,0.6,3.79
 84-94,0,5.05,11.05,15.22,0,174.46,0,3.83,3.81,14.44,3.93,0,0.79,6.31,1.02,1.74,2.03,0,0.99,40.47,0,0,4.2,241.83,2.17,3.44,2.77,0,0.6,15.21,0,0,0,0,38.2,0,1.76,3.41,2.6,0.66
 96-106,0,2.08,2.92,6.46,0,106.97,0,1,2.05,13.15,0,0,0,2.28,0.92,0.71,0.75,0,8.43,15.62,1.75,0,0,156.26,0,0,4.47,0,2.63,10.03,0,0,0,0,2.58,0.56,0,2.18,0,0.8
108-118,0,0.93,9.1,13.07,3.68,104.59,0,1.55,0.43,35.93,6.62,0,0,4.82,5.78,0.62,0.51,0.88,0,38.76,0,0,4.02,254.38,0.67,1.02,5.11,0,0,5.69,0,0,0,0,5.2,0,0,5.52,0,1.66
120,0,1.22,9.01,5.52,0,86.85,2.29,1.12,0,32.94,9.59,0,0,0,10.62,3.33,2.13,2.27,8.85,29.56,0,0,1.5,666.36,5.15,0,13.54,0,0,8,0,0,2.33,0,27.9,0,0,14.33,0,12.45
