stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,56.04,1199.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.85,0,0,0,0,0,0,0,0,0,0
  5-6,188.07,3653.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.17,27.89,0,0,9.28,0,33.66,0,0,0,0,0,0,0,0,0,0
  7-9,74.4,195.85,0,539.49,0,0,0,533.11,0,0,0,0,0,166.74,0,0,0,0,0,0,0,0,0,0,0,5124.34,107.67,0,0,1094.57,0,0,12.95,0,13.28,0,0,0,0,0,0,0
 10-12,8.69,159.86,0,184.7,0,31.25,0,886.21,0,0,0,0,0,75.74,0,0,0,0,0,0,0,0,0,0,0,4102.91,45.29,0,0,715.66,0,0,15.94,0,121.72,0,7.71,4.33,0,0,0,0
 14-21,0,0,4.11,7.47,1070.8,194.82,0,145.8,0,4.54,0,44.83,15.87,0.82,8.13,1.9,7.86,0,0,3.71,7.6,345.41,5.33,0,397.91,2140.77,10.42,7.16,3.76,40.18,0,0.86,0.91,58.03,26.71,68.62,474.91,1006.67,0,96.5,0,3.01
 24-34,0,0,1.48,6.51,160.79,31.03,0,321.18,0,9.16,22.28,86.1,4.26,4.49,28.44,6.35,1.46,3.37,7.8,5.12,10.68,604.82,1.25,2.43,266.85,5443.9,15.07,7.97,13.84,0,1.61,13.1,0,0.97,73.64,26.54,105.31,1450.81,0,416.69,0,22.8
 36-46,0,0,0,1.58,40.39,3.02,0,776.91,8.2,4.79,60.09,224.5,1.67,0,37.22,23.63,5.3,9.8,6.01,6.28,15.44,676.28,0.56,10.23,138.52,4631.88,13.97,9.28,4.66,0,4.76,31.54,0.81,12.23,51.73,20.53,0.83,1350.48,0.85,241.96,0,33.63
 48-58,0,1.29,0,0.43,16.54,0,0,1003.02,1.04,11.02,100.21,234.23,1.7,0,17.78,33.59,3.24,6.89,1.18,8.15,20.93,583.49,0,8.03,86.78,1774.1,0,1.97,0.38,0,5.58,3.61,0,0,55.24,3.41,0,585.94,5.57,177.88,0,36.21
 60-70,0,0,0,0,18.72,5.79,0,1316.71,1.89,13.54,71.89,233.8,2.14,0,42.66,73.43,0.71,2.43,0.66,1.51,14.24,792.62,2.41,39.72,50.56,696.96,1.87,0.6,16.74,0,18.55,1.57,0,0,54.26,0.86,0,248.79,17.79,150.84,6.67,20.48
 72-82,0,0,2.11,0,18.58,1.3,0,631.96,0,5.74,116.29,187.83,9.21,0,32.42,63.92,3.86,7.86,2.7,1.36,1.58,931.59,0.94,39.44,68.06,482.22,2.5,5.73,7.48,0,18.33,5.39,0,4.38,92.67,0,0,87.98,32.55,322.94,16.88,32.53
 84-94,0,0,1.14,0,18.17,0.84,0,509.09,3.32,12.75,69.11,154.59,16.92,0,28.35,60.74,0.61,10.82,0.81,1.09,11.44,708.61,2.02,45.63,57.76,364.18,5.97,14.15,11.04,0,16.89,6.36,0,0,225.41,0,0,62.95,26.61,262.21,20.57,26.42
 96-106,0,0,5.63,0,16.94,9.54,0,354.96,2.36,13.93,97.77,189.83,14.54,0,49.47,54.3,0.81,5.45,1.07,20.66,0.59,724.99,0,31.83,34.03,370.59,2.42,5.23,2.98,0,42.92,7.95,0,0,208.01,1.28,0,58.93,23.8,352.74,22.51,22.54
108-118,0,0,6.61,0.74,17.21,19.95,2.18,415.41,2.49,6.27,87.27,255.69,25.29,0,23.85,53.75,2.46,4.52,1.4,13.28,3.73,816.82,1.91,16.7,33.53,444.28,3.86,1.08,6.59,0,58.6,0.47,0,0,259.99,0.46,0,22.13,19.3,303.16,31.73,29.19
120,0,0,12.68,0,31.21,3.79,5.29,321.1,0,5.31,89.87,219.71,24.24,0,31.05,77.67,1.05,7.75,0,6.55,0,654.05,0,43.78,40.29,450.6,5.13,1.26,10.33,0,78.51,0,0,0,184.02,0,0,22.35,20.82,312.39,16,18.21
