stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  5-6,59.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.69,0,0,0,0,0,0,0,0,10.15,0,0,0,0,0,0,0,0
 10-12,5.05,7.07,0,0,0,0,0,0,0,0,30.56,3.15,12.45,0,0,7.71,0,0,0
 14-21,0,0,0.89,0,0.9,0.83,0,0,0,3.19,9.23,0,0,0,2.22,0,1.92,6.22,0
 24-34,0,0,0,2.12,0,0,0,0,0,0,5.1,0,0,0,0,0,0,3.69,1.49
 36-46,0,0,0,0,0,0,0,0.56,0,0,2.89,0,0,2.55,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.37,0,0,3.47,0,0,0.46,0,0,0,0.74,0
 60-70,0,0,3.54,1.42,0,0,3.99,0,0.7,0,0,0,0,7.36,0,0,0,0,0
 72-82,0,0,0,0.6,0,0,0,1.53,0,0.89,2.03,0,0,2.22,0,0,0,1.67,2.14
 84-94,0,0,0,0.62,3.11,0,1.16,3.5,0,0.7,2.61,0,0,1.08,0,0,0,0,0
 96-106,0,0,0,0.91,1.49,0,1.91,6.97,0,0.73,6.43,0,0,0.57,0,0,0,0,0.87
108-118,0,0,0,0,0,0,0.74,2.5,0,0,0,0,0,2.14,0,0,0,0,0.54
120,0,0,1.21,12.59,0,0,0,2.02,0,0,1.72,0,0,2.59,0,0,0,0,0
