stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0.86,0,0,0,0,0,0,2.62,1.04,2.3,0,0,0,0
 24-34,0,6.15,0,0,0,0,0,0,0,0,0,0,0.62,0.61,0,4.05,94.13,0.72,0,0,0,0,1.55,0,3.61,6.49,13.58,0,0,0,0
 36-46,0,0,0,0,0,0,1.3,0,1.05,0,0,1.36,1.49,0,0,0.57,228.77,0.76,0,0,0,1.32,0,4.09,0,0,31.07,0,2.41,0,0
 48-58,0,0.84,0,13.38,0.65,0,2.72,0,0,0,0,1.41,0,1.46,2.68,3.85,286.99,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0
 60-70,0,0,0,26.57,0.83,0,2.43,0,0,0,0,0,0,4.89,0,0,302.81,0,0,0,0,0,0,0,1.3,0,25.99,0,2.92,0,0
 72-82,0,5.03,5.04,61.8,0,0.56,5.11,0,0,0,0,1.16,0,22.26,1.11,0.73,632.92,0,0,0,0,2.07,0,0,0,0,32.61,0,0,0,0
 84-94,0,2.86,3.96,79.5,2.28,0,2.58,0,0.97,0,0,8.54,9.52,17.22,4.41,0.57,547.21,0,1.31,0,0,1.5,0,0,0.62,0,29.62,0,0,0,0
 96-106,0,0.85,0,65.96,0.64,0,6.83,1.38,0,0,0,6.47,0,15.15,0,2.52,544.25,1.38,0.64,2.95,0,1.54,0,0,0.57,0,13.33,0,2.45,0,0
108-118,0,3.58,1.32,64.07,2.26,0,3.29,0,0,0,0.41,5.25,1.07,24.12,5.48,4.56,740.74,0.46,0.45,0,0,0.42,0,0,1.04,0,9.12,0.8,0,1.03,0.98
120,0,0,0,79.78,2.78,0,17.55,2.32,0,2.27,0,3.01,0,61.72,0,0,942.15,11.22,0,8.85,0,0,0,0,1.63,0,14.35,0,0,0,0
