stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,67.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,0,0,0,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.93,0,0,0,5.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,2.92,28.45,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,13.45,10.24,0,0,0,0,0,0,0.98,47.69,0,0,0,0.77,0,0
 36-46,0,0,0.64,0,0,0.58,21.46,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,7,35.56,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0
 48-58,0.58,0,0,0,0,1.31,20.21,9.62,0,2.73,0,0,0,0,0,0,0.42,0,0,30.07,0,0,10.1,247.15,6.85,0,0,0,0,0,0,0,2.14,0,0,0,0,0
 60-70,0,0,6.9,0,0,9.75,24.31,0,0,88.05,0,0,0,0,0,0,0,0,0,59.59,0,3.12,4.05,505.77,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,36.56,0,0,90.88,17.26,0,7.57,265.71,0,0,0,0,0,0,0,5.46,0,819.33,0,0,8.69,1151.11,0,0,0,0,0,0,0,0,10.85,16.26,0,1.67,3.61,0
 84-94,0,0,13.6,6.49,0,48.47,2.23,0,2.65,125.92,0,0.6,0,4.71,0,4.61,0,0,0,339.97,0,23.52,5.27,1322.33,0,0,1.84,0,0.58,0,0,0,1.27,2.01,1.11,2.38,0,7.62
 96-106,0,0,22.87,21.31,0.59,40.24,26.33,0.81,0,529.07,0,0,0,0.78,0,7.61,1.93,12.46,0,903.45,1.15,18.1,8.27,1827.81,0,1.39,1.51,0,2.47,0,0,0,0,0,52.85,0,15.38,0
108-118,0,0,55.23,8.63,1.29,32.84,11.25,0,0,510.04,1.1,0,1.81,0,7.07,0.43,0,0,2.07,1165.04,0,15.1,31.65,1882.96,1.24,0,0,0,5.71,2.04,0,0,0,0,0,9.18,1.9,5.52
120,0,0,36.4,19.69,0,19.77,19.66,0,0,335.96,1.55,0,0,0,0,0,0,0,0,1292.54,0,37.07,7.99,2013.68,0,0,1.61,0,117.08,0,0,0,0,0,0,0,0,0
