stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,2.47,1.68,0.81,0,1.11,0,0,0,0,0,0,24.26,0,0,1.8,0.86,1.52,1.29,3.62,3.62,0,0
 24-34,0,0,0,0,2.4,0,0,0,0,0.82,0,15.54,0,0,0,0,0,0,0,2.57,0,0
 36-46,0,0,3.7,0.78,0,0,0,0.67,0,1.58,0,11.77,0,0,0,0,0,0,0,0.78,0,0
 48-58,0,0,5.73,0,0.89,0,0,0,0,1.77,0,25.97,1.14,0,0,1.14,0,0,0,10.1,0,3.8
 60-70,5.08,0,11.42,0,0,0,0.59,0,0,1.33,0,10.14,0,0,0,0,0,0,0,1.57,0,0
 72-82,0.52,0,5.55,0,0.78,0,0,0,0,0.49,0,6.98,0,0.52,0,0,0,1.99,0,0,0.89,0
 84-94,1.18,0,3.87,0,0,2.63,0,2.64,0,5.01,0,5.15,0,0,0,0,0,0,0,0,0.74,0
 96-106,1.89,1.92,8.47,0,0,0,0,0,0,1.91,3.24,13.06,0,0,0,0,0,0,0,0,0,0
108-118,0.61,0,15.17,0.47,0,0,0,0,0,0.61,0,19.21,0,0.76,0,3.57,0,0,0,0,1.13,0
120,3.86,0,8.42,0,0,0,0,0,9.24,0,0,1.7,0,0,0,6.25,0,0,0,0,0,0
