stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,2.93,0,0,10.78,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0,0,0.88,0,0.65,10.44,0.79
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.03,1.9,0,0,3.52,0,20.17,0
 48-58,0,0,0,0,0,3.61,0,0,7.69,0,0,0,0,4.21,0,0.64,264.13,1.12,0,0,0,0,7.66,0
 60-70,0,0,0.9,0,0,9.52,0,0,13.06,0,0,0,0,4.02,0,0,386.35,0.72,0,0,0,0,15.63,0
 72-82,0,0,1.44,0.49,0,25.93,0,0,6.62,0,0,0,0,9.72,0.77,1.46,486.98,0,0.51,0.66,0,0,31.69,0
 84-94,0,0,1.74,0,0,20.25,0,0,4.32,0,0.99,1.02,0,4.1,0,0,340.98,3.82,0,2.11,0,0,20.57,0.6
 96-106,0,0,2.01,0,0,30.54,0,0,8.88,0,0,0,0.78,22.53,0,0.83,266.01,1.34,0.59,1.72,0,0,10.3,0
108-118,0,0.49,8.8,0,0.5,15.9,0,0.73,5.8,0,0,0,0,23.84,0,2.44,343.72,0.49,6.75,0.62,0,0,6.57,0
120,0,0,3.12,2.06,0,0,2.41,0,4.7,2.96,0,0,0,38.59,0,0,395.4,6.24,0,0,0,0,8.73,0
