stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,78.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.17,49.69,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0
  7-9,6.18,9.99,0,0,0,0,0,0,0,0,44.6,0,0,0,0,0,0,0,0,0,5.85,0,0,8.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,11.53,0,0,11.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.87,0,0,0,0,0,1,0,0,0,0,0,3.13,0,0,0.87,4.24,0,0,0,0,0,1.31,0,0,2.09,0,0,0,0
 24-34,0,0,3.01,0,10.38,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,2.11,48.72,0.65,0,0,0,4.85,0,0,0.87,16.32,0,0,2.11,0
 36-46,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,4.09,5.35,0,46.17,0,0,0,0,3.58,0,0,0,10.47,0,0,1.39,0
 48-58,0,0,0.49,0,137.65,0,0,0,0.37,0,0,0,0,0,0,0.73,0,1.58,0,0.64,94.04,0.78,0.68,0,0,0.7,0,0,0,17.4,0,0,0,0
 60-70,0,0,3.74,0,536.84,0,0.82,0.84,0,0,0,0,0,0,4.2,4.1,0,3.86,0,0,117.19,0,0,0,1.53,2.84,0,0,0,10.9,0,0,0,0
 72-82,0,0,0,0,483.05,0,0,0,3.11,0,0,0,0,0,0,2.16,0,13.18,4.74,2.12,81.6,0,1.44,0,3.03,3.94,0,0,0,14.21,7.02,0.85,0.9,5.22
 84-94,0,0,0.73,0,630.4,0,0,0,4.17,1.14,0,1.92,1.26,0,6.24,2.76,0,17.38,11.08,0,54.92,0,0,0,0,0,0,0,0,9.36,8.3,1.48,1.04,0
 96-106,0,0,0,0,348.73,0,0,0,2.09,0,0,0,0,0,0,2.22,0,28.33,4.48,0,39.87,0,0,0,0,0.76,0,0,0,4.62,4.68,0.8,0,0
108-118,0,0,0.94,0,356.76,0.67,0,0,9.21,2.32,0,0,0,0.72,0,1.94,0,5.83,3.49,0,50.54,0.67,0,0,0,0.63,0,0,0.55,5.47,1.63,0,1.62,0
120,0,0,3.83,4.1,481.36,1.95,0,0,2.9,0,0,0,0,0,0,1.6,0,27.05,1.83,3.14,75.3,0,0,0,0,0,0,1.14,0,0,3.15,0,14.57,0
