stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,pericytes,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1.69,0.87,0,0,0.81,0,0,0,0,0,0,2.36,0,0,0.93,1.35,0,0
 24-34,0,0,0,0,0,0,0,0.69,1.86,0,0,4.57,0,0,0,1.32,0,0
 36-46,0,0,0.94,0,0,0,1.59,0,0,0,0,12.73,0,0,0,1.01,0,0
 48-58,0,0,1.21,0,1.18,0,2.97,0,1.18,0,0,2.81,0,0,0,3.28,0,0
 60-70,0,0,0,0,1.82,0,1.94,0,0,0,2.69,13.12,0,0,0,5.14,0,0
 72-82,0,0,0,6.04,0.51,0,0,0,3.66,0,0,5.18,1.46,0,0,2.17,0,0
 84-94,0,0,0,0,0.84,0,0,0,2.89,0,0,0.87,0,0,0,0,0,0
 96-106,1.06,0,0,0,5.85,0,0,0,4.74,0,1.79,0,0,0,0,0.95,1.71,0.93
108-118,0,0,0,0,0,0.88,0,0,3.66,0.65,0.64,4.77,0.52,2.35,0,0,3.96,0
120,0,0,1.18,0,0,3.34,2.43,0,6.2,10,0,1.11,0,0,0,0,0,0
