stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,39.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,4.95,0,0,3.88,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,32.36,10.43,0,0,3.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,10.43,0,0,0,0,0,12.22,0,0,0,0,0,5.32,0,0,0,0,0,32.69,0,0,0,7.8,7.72,0,0,0,0,0,0,0,0,0
 14-21,0,0.88,12.83,8.73,3.89,0,0,0,0,0,0,0,6.07,0,0,0,0,2.06,0.9,0,0,2.76,82.27,0,1,0,2.17,6.61,1.66,0.94,0,4.07,21.76,0,3.34,0,0
 24-34,0,0,9.84,2.22,4.34,0,0,0,4.73,0,0,0,19.53,0,0,0,0,2.15,17.98,0,0,1.54,94.39,0,2.15,0.69,0,22.36,0,0,0,1.9,23.72,0,32.83,0,0
 36-46,0,0,3.28,0,12.28,0,0,1.25,1.73,0,0,0.56,44.94,0,0,0,0,0,5.19,1.08,0,1.5,65.81,0,1.59,0,0,7.49,0,0.65,0,0,32.33,0,28.71,0,3.33
 48-58,0,0,10.88,0,30.44,0,0,0,5.86,0,0.37,1.3,36.66,0.38,0.56,0,0,4.97,8.65,0.57,0.61,2.25,48.63,0,0.84,1.54,0,6.74,0,0,0,0,12.06,0,5.82,0,9.12
 60-70,0,0,4.72,0,20.85,0,0.99,0,3.91,0,4.48,2.9,28.88,0,0,0,0,4.2,14.92,0,0,2.53,37.43,0,0,0,0,4.64,0,0.68,0,0,2.57,0.59,5.36,0,2.54
 72-82,0,0,4.74,7.36,23.41,0,0,0,4.25,0,0,1.95,44.68,0,0.83,0,0,1.95,9.49,0.71,1.17,0,17.52,2.85,1.3,0,0,4.51,0,0,0.49,0,2.25,1.74,12.12,0,4.9
 84-94,0,0,11.87,0,17.91,0,2.62,0.61,8.46,0,0,0,71.42,0,0.93,0,0,16,7.65,0,0,0,32.82,0,0,1.27,0,5.22,0,0,0,0,3.17,1.98,15.29,0,8.13
 96-106,0,0,9.12,0.66,28.75,0,0,6.8,10.15,0,0,3.15,83.42,0,0,0,0,3.74,28.81,0,0,3.05,16.89,0,0,0.85,0,11.12,0,0,0,0,0,0,26.28,1.25,1.44
108-118,0,0,9.04,0.58,23.71,0,3.22,0.52,6.84,1.35,0,8.9,113.08,1.23,9.72,0.6,0,6.82,30.8,1.15,0,0,11.11,0,0,0,0,14.14,0,0,0,0,0.61,2.8,11.14,0,8.19
120,0,0,15.48,1.2,0,1.06,3.09,0,0,0,0,0,148.82,0,2.11,0,0,9.1,2.99,0,2.4,2.28,28.25,0,0,0,0,2.78,0,0,0,0,0,0,14.28,0,0
