stage,blastomeres,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  3-4,27.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0
 10-12,0,0,3.58,0,0,0,0,0,3.74,0,6.55,0,0,0,0,0
 14-21,0,0.88,1.88,0,0,0,0,0,17.93,0,0,0,1.03,2.06,0.96,0
 24-34,0,0,1.49,0.85,0,0,0,0.63,6.44,0,0,0,0,0,1.33,0
 36-46,0,0,2.03,0,1.13,0,1.49,0,7.97,0,0,0,0,0,2.59,0
 48-58,0,0,2.28,0,0,0,0.96,0.4,5.31,0,0,0,0,0,2.57,0
 60-70,0,0,15.03,0,0,0,0.64,0,7.95,0,0,0,0,0,1.89,0
 72-82,0,0,0,0,3.95,0,0,0,9.21,0,0,0,0,0,0,0
 84-94,0,0.56,1.21,0,0,0,0,0,13.45,0.78,0,5.67,0,0,3.07,0
 96-106,0,0.6,4.43,0,3.63,0,0,0,3.21,0,0,0,0,0,1.25,2.32
108-118,0,0,1.83,0,0,0.9,0.61,0.51,5.89,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,7.63,0
