stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,20.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0
 14-21,0,3.59,478.83,0,0,0,0,0,0,1.74,24.73,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0
 24-34,0,3.7,578.34,0,2.96,0,0,0,0,0,83.92,0,0,0,3.51,0,1.29,43.59,0,0,3.44,1.46,6.22,0,1.16,0
 36-46,0,0,99.67,0,0,0,0,0,0,0,144.72,0,0,0.66,1.62,0,0,19.17,0,0,1.61,0,1.31,0,1.45,2.32
 48-58,0,0,70.51,0,2.76,0,0,0,0,0,165.64,0,0,0,2.45,0,0,14.32,0,0,0.42,0,3.48,0,4.61,0
 60-70,0,0.71,19.39,0,1.71,0,0,0,0,0,189.11,0,0,0,0,0,0.74,9.03,0,0,0,0,1.63,0,9.13,0
 72-82,0,1.05,77.88,0,0,0,0,0,0,0,223.02,0,0,0,2.79,0,0,10.84,0,0,0,0,0,0,12.8,0
 84-94,0,10.89,84.36,0,4.76,0,0,1.87,0.73,0,311.35,0,0,0,0.61,0,0,1.82,0,0.79,0,0,0,0,10.62,0
 96-106,0,13.06,180.21,0,20.32,1.25,0.58,0,0.91,0,411.79,0,0.87,0,4.35,0,1.81,4.06,2.4,0,5,0,0,3.06,20.41,0
108-118,0,16.16,114.06,0.72,1.53,0.48,0,0,0,0,421.75,0,0,0,2.53,1.46,0,19.86,0,0,0,0,0,0,26.34,0
120,0,21.92,145.16,0,6.78,4.48,0,0,2.4,0,408.22,1.72,0,0,0,0,1.39,31.14,0,2.59,0,0,0,0,15.31,0
