stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,32.37,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.97,0,3.35,0,0,0,0,0,0,0,0,0,0,0.63,0,0,49.34,0,0.86,0,0,0,5.41,0,2.09,0,0,0,0,0
 36-46,0,0,0,0,0,1.39,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41,0,0,0,0,0,4.2,0,2.44,0,0,0,0,0
 48-58,0,0,0,0,0,9.7,0,0.62,0,24.59,0,0,0,0,0.87,0,0,0,5.61,0.6,5.76,0,0,31.58,0,0.41,0,0,0,382.34,0,14.62,0,0,0,0,0
 60-70,0,0,10.14,0,0,14.23,0,0,0,45.91,0,1.71,0,0,4.69,0,0,0,0,1.57,2.49,0,2.69,29.22,0,0.98,0,0,1.13,723.03,0,2.06,0,0,0,0,0
 72-82,0,0,51.88,2.12,0,32.95,0,28.86,0.62,84.24,0,0,1.04,0.63,24.9,0,0,0,0,25.98,36.69,3.25,0,71.8,1.67,1.45,0.61,0,0,2195.76,0,7.06,0,0,3.54,0,5.01
 84-94,0,0,70.24,5.72,0,37.27,0,72.95,0.61,120.53,0,0,0,2.91,85.84,0.87,3.91,1.5,0,20.72,43.33,1.31,1.88,97.45,0.94,0,1.1,0,0,6562.36,0,0,0,0,0,0,0.59
 96-106,0,1.68,2460.31,66.64,1.05,268.92,4.94,242,18.75,162.06,4.13,0,3.87,28.84,546.42,9.88,3.8,22.1,8.66,100.69,189.16,4.53,14.62,439.04,13,9.78,2.78,0,2.14,15178.47,4.54,22.93,13.96,5.61,33.31,22.72,10.48
108-118,0,0,3450.49,11.5,15.28,120.62,0.92,513.82,5.93,72.5,6,0,2.41,7.94,1037.45,0.74,3.64,16.15,0,88,304.27,2.25,10.91,351.27,1.15,0.55,4.79,0,6.43,15756.42,0,8.89,14.91,6.86,20.75,0.77,14.29
120,0,0,2230.18,27.27,1.14,112.77,0,334.5,8.58,116.91,5.54,0,0,0,419.15,0,0,1.23,0,68.78,98.78,8.42,0,366.77,6,11.55,0,0,0,9286.41,0,6.1,0,0,32.28,7.37,25
