stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,498.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0
  5-6,65.29,953.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,17.19,27.28,0,0,0,0,0,0,0
  7-9,20.53,35.89,0,23.83,0,0,32.84,0,0,0,14.8,0,0,0,0,0,0,0,0,634.91,0,0,0,187.82,0,0,0,0,0,0,0,0
 10-12,0,5.48,0,53.08,0,0,30.99,0,0,0,27.69,0,0,0,0,0,0,0,0,421.07,14.92,0,0,68.31,0,0,19.54,0,0,0,0,0
 14-21,0,0,0,1.1,6.55,0.85,0.88,0,1.03,1.99,0,0,0,0,0,0,0,0,2.09,16.04,0,0,0.84,0,3.07,3.17,0,1.76,4.27,0,1.12,0
 24-34,0,0,0,0,3.37,0,4.93,0.83,0,0,0,1.24,0,1.96,0,0,1.33,0,1.64,21.46,0,1.25,1.16,0,7.32,0,0,0,0,0,0,0
 36-46,0,0,0,0.56,19.44,0,3.12,0,1.1,0,0,0,0,1.13,0,0,0.73,3.23,12.13,17.28,0,1.65,2.58,0,17.84,0,1.34,0,2.73,0,0,0
 48-58,0,0,0,0,10.87,1.69,10.81,0,0,0,0,5.82,0,0,4.23,0,1.34,0,0,14.63,4.92,2.23,0,0,7.11,0,0,0,3.84,0,0,0
 60-70,0,0,0,0,19.13,0,25.28,1.1,0,0,0,0,0,0,1.12,1.06,2.67,0,0,17.79,0,1.78,0,0,9.98,0,1.12,0,2.93,0,0,0
 72-82,0,0,0,0,12.82,0.5,7.28,0,3.1,0,0,0,0,3.94,0,0,2.95,0,0,11.72,0.88,1.86,0,0,6.16,0,0,0,0,1.24,0,0
 84-94,0,0,0,0,1.7,1.65,9.59,1.05,0,0,0,0,0,0,0,0,2.67,0,0,1.56,0,0,0,0,6.6,0,0,0,0,0,0,0.62
 96-106,0,0,0,0,2.92,0,0,0,0,0.96,0,0,0,0,2.22,0,5.95,0,0,1.69,0,0.73,0,0,6.64,0,0,0,0,0.72,1.37,0
108-118,0,0,0,0.45,4.68,1.92,1.2,0,1.03,0.47,0,0,0.83,0,0,0.89,4.02,0,1.85,7.47,0,1.89,0,0,3.3,0,0,0,2.32,0,0,0
120,0,0,3.9,0,6.69,0,13.59,0,0,5.94,0,0,0,0,0,0,0,11.34,0,35.89,0,1.48,6.42,0,24.32,0,1.21,0,12.5,0,0,0
