stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.82,0,0,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.13,6.18,0,0,10.35,0,0,0,0,0,0,0,0,0
 14-21,0,112.64,34.14,19.19,0,0,1.14,0,0,0,0,0,0,0,65.02,0,0,0,0.82,14.55,0,49.69,0,0.93,0,0,4.07,7.78,1.77,0,0.9,11.06,0,0,0
 24-34,0,54.99,0.59,7.29,0,0,0.68,0,0,0,0,0,0,1.8,42.93,0,0,0,2.15,58.59,1.59,158.67,0,1.45,0,0,16.15,0,0,0,0,1.87,0,0,0
 36-46,0,14.93,0,0.83,0,0,1.45,0,0,2.05,0,0,0,0,12.01,0,0.71,0,1.63,48.96,0,172.82,0,0,0,0,0.61,0,0,0,0.83,3.23,0,0,0
 48-58,0,12.02,0,16.46,0,0,7.65,0.44,0,1.34,0.54,0.49,0,0,16.03,5.18,0,0,0,78.58,0,148.55,0,0,6.3,0,0,0,0,0,0,4.77,0,0,0
 60-70,0,43.04,0,30.11,0,0,4.02,0.81,0.68,0,11.98,0,0,0,19.94,0,0,0,1.6,57.93,0,95.31,0,0,0,0,4.87,0,0,0,0,0,1.62,0,0
 72-82,0,95.4,0,50.57,0,0,10.34,1.63,0,2.73,53.78,0.5,0,0.91,5.48,0,0,9.13,3.12,121.31,0,71.75,0,0,0.69,0,3.05,4.96,0,0,0,4.12,6.83,0,5.97
 84-94,0,152.79,0,52.32,0,0,20.86,2.21,0,2.05,105.19,0,0,0,9.71,0,1.41,5.88,2.6,168.69,0,127.29,0,7.88,4.1,0,6.95,0,0,0,0,0,26.5,0,0
 96-106,0,89.39,0,130.42,4.04,0,42.34,4.36,0,1.44,146.19,0,2.2,0,6.61,0,1.07,1.99,2.15,150.51,0,108.58,0,0,7.29,0,12.57,6.78,0,0,0,0,19.94,0,3.22
108-118,0,81.81,0,149.35,0.64,5.96,11.31,0.91,0,0.76,154.74,0,0,2.79,11.81,0,2.36,1.1,15.86,62.55,3.38,93.63,0,0,0.52,0,6.05,0,0,3.75,0,0,19.62,0.83,4.46
120,0,87.67,0,171.96,0,0,12.2,1.08,0,5.5,178.97,0,0,0,14.32,0,0,6.54,0,85.79,1.56,133.91,0,0,3.73,0,7.48,0,0,0,0,0,12.49,0,0
